"",".variable",".value",".lower",".upper",".width",".point",".interval","variable","truncate","quantile"
"1","b_erapresent",-0.190547305007508,-0.221222784647422,-0.160338733443037,0.95,"median","qi","Era",FALSE,NA
"2","b_erapresent:x2z",0.17392461829685,0.132700852525314,0.214733677009359,0.95,"median","qi","Era x Density",FALSE,NA
"3","b_erapresent:x3z",-0.00799333775201854,-0.037804005189348,0.0205691966781412,0.95,"median","qi","Era x Tidal height",FALSE,NA
"4","b_x2z",-0.221870079141962,-0.260242402931377,-0.184061806286215,0.95,"median","qi","Density",FALSE,NA
"5","b_x3z",0.0293578424460705,0.00817751783309359,0.0507867048053555,0.95,"median","qi","Tidal height",FALSE,NA
"6","b_erapresent",-0.190547305007508,-0.210637116230751,-0.170476941645876,0.8,"median","qi","Era",FALSE,NA
"7","b_erapresent:x2z",0.17392461829685,0.147514092342738,0.201373844060738,0.8,"median","qi","Era x Density",FALSE,NA
"8","b_erapresent:x3z",-0.00799333775201854,-0.0273520495731127,0.00954119671915165,0.8,"median","qi","Era x Tidal height",FALSE,NA
"9","b_x2z",-0.221870079141962,-0.246049764892641,-0.197275498478106,0.8,"median","qi","Density",FALSE,NA
"10","b_x3z",0.0293578424460705,0.0158751467961788,0.043227543275386,0.8,"median","qi","Tidal height",FALSE,NA
"11","b_erapresent",-0.176736231727507,-0.20601458954944,-0.147460942572792,0.95,"median","qi","Era",TRUE,0
"12","b_erapresent:x2z",0.174720752879622,0.134264242765615,0.213252066594676,0.95,"median","qi","Era x Density",TRUE,0
"13","b_erapresent:x3z",-0.0127118758129444,-0.0396134303943151,0.0130739628611665,0.95,"median","qi","Era x Tidal height",TRUE,0
"14","b_x2z",-0.221659375962858,-0.257218554119381,-0.185478311091613,0.95,"median","qi","Density",TRUE,0
"15","b_x3z",0.0296047135146366,0.0100368751067894,0.0498759997363073,0.95,"median","qi","Tidal height",TRUE,0
"16","b_erapresent",-0.176736231727507,-0.195506347312982,-0.157888943029844,0.8,"median","qi","Era",TRUE,0
"17","b_erapresent:x2z",0.174720752879622,0.148188595318683,0.20089204538705,0.8,"median","qi","Era x Density",TRUE,0
"18","b_erapresent:x3z",-0.0127118758129444,-0.0303789824581995,0.00448491217629016,0.8,"median","qi","Era x Tidal height",TRUE,0
"19","b_x2z",-0.221659375962858,-0.245540581340813,-0.197159701060326,0.8,"median","qi","Density",TRUE,0
"20","b_x3z",0.0296047135146366,0.0168870260555561,0.0426195964821712,0.8,"median","qi","Tidal height",TRUE,0
"21","b_erapresent",-0.137791005096602,-0.160630905505477,-0.11446949318844,0.95,"median","qi","Era",TRUE,0.1
"22","b_erapresent:x2z",0.125909344983625,0.09471985103514,0.156669031122531,0.95,"median","qi","Era x Density",TRUE,0.1
"23","b_erapresent:x3z",-0.00588723879664135,-0.0276565828097385,0.0177766997444568,0.95,"median","qi","Era x Tidal height",TRUE,0.1
"24","b_x2z",-0.156257628500251,-0.183767066965181,-0.1282386677201,0.95,"median","qi","Density",TRUE,0.1
"25","b_x3z",0.0125334832086274,-0.00380985353010272,0.0284825830005318,0.95,"median","qi","Tidal height",TRUE,0.1
"26","b_erapresent",-0.137791005096602,-0.15293749769895,-0.12238201219695,0.8,"median","qi","Era",TRUE,0.1
"27","b_erapresent:x2z",0.125909344983625,0.105828425089425,0.145718333505866,0.8,"median","qi","Era x Density",TRUE,0.1
"28","b_erapresent:x3z",-0.00588723879664135,-0.0207043654129661,0.00958583214792261,0.8,"median","qi","Era x Tidal height",TRUE,0.1
"29","b_x2z",-0.156257628500251,-0.17397192795181,-0.137875328155594,0.8,"median","qi","Density",TRUE,0.1
"30","b_x3z",0.0125334832086274,0.00170227611746393,0.0229894929658552,0.8,"median","qi","Tidal height",TRUE,0.1
"31","b_erapresent",-0.135732935032414,-0.160032356920458,-0.110775734458263,0.95,"median","qi","Era",TRUE,0.15
"32","b_erapresent:x2z",0.10520472431596,0.0750224702803018,0.134640946332737,0.95,"median","qi","Era x Density",TRUE,0.15
