"",".variable","rhat","eff_samples","truncate","quantile"
"1","b_Intercept",0.825448626771244,3301.79450708498,FALSE,NA
"2","b_erapresent",0.891200111097763,3564.80044439105,FALSE,NA
"3","b_x2z",0.557692847699508,2230.77139079803,FALSE,NA
"4","b_x3z",0.677501312258794,2710.00524903517,FALSE,NA
"5","b_erapresent:x2z",0.556079678162904,2224.31871265162,FALSE,NA
"6","b_erapresent:x3z",0.727080567005734,2908.32226802294,FALSE,NA
"7","sigma",1.10485013991713,4419.40055966853,FALSE,NA
"8","lp__",0.422205628940657,1688.82251576263,FALSE,NA
"9","b_Intercept",0.964275587520923,3857.10235008369,TRUE,0
"10","b_erapresent",0.929014203369809,3716.05681347924,TRUE,0
"11","b_x2z",0.721869736431807,2887.47894572723,TRUE,0
"12","b_x3z",0.886945957947366,3547.78383178946,TRUE,0
"13","b_erapresent:x2z",0.72372650700934,2894.90602803736,TRUE,0
"14","b_erapresent:x3z",0.900882299698837,3603.52919879535,TRUE,0
"15","sigma",0.952134394711879,3808.53757884752,TRUE,0
"16","lp__",0.418738702248012,1674.95480899205,TRUE,0
"17","b_Intercept",1.05266855983437,4210.67423933747,TRUE,0.1
"18","b_erapresent",1.1175819744951,4470.32789798038,TRUE,0.1
"19","b_x2z",0.766259687765905,3065.03875106362,TRUE,0.1
"20","b_x3z",0.786206333498074,3144.82533399229,TRUE,0.1
"21","b_erapresent:x2z",0.770326407855032,3081.30563142013,TRUE,0.1
"22","b_erapresent:x3z",0.867067310672609,3468.26924269044,TRUE,0.1
"23","sigma",1.05596391475791,4223.85565903164,TRUE,0.1
"24","lp__",0.444529883089061,1778.11953235624,TRUE,0.1
"25","b_Intercept",1.06406645382506,4256.26581530024,TRUE,0.15
"26","b_erapresent",1.03266768531588,4130.67074126352,TRUE,0.15
"27","b_x2z",0.818411671280035,3273.64668512014,TRUE,0.15
"28","b_x3z",0.97458689627607,3898.34758510428,TRUE,0.15
"29","b_erapresent:x2z",0.787190186981912,3148.76074792765,TRUE,0.15
"30","b_erapresent:x3z",0.904081097010017,3616.32438804007,TRUE,0.15
"31","sigma",1.21361318826081,4854.45275304324,TRUE,0.15
"32","lp__",0.408993364753009,1635.97345901204,TRUE,0.15
"33","b_Intercept",1.17908339141307,4716.33356565226,TRUE,0.2
"34","b_erapresent",0.994953247904097,3979.81299161639,TRUE,0.2
"35","b_x2z",0.725141923362113,2900.56769344845,TRUE,0.2
"36","b_x3z",0.794435268101985,3177.74107240794,TRUE,0.2
"37","b_erapresent:x2z",0.728770306974672,2915.08122789869,TRUE,0.2
"38","b_erapresent:x3z",0.806114524515939,3224.45809806376,TRUE,0.2
"39","sigma",1.08388581084016,4335.54324336065,TRUE,0.2
"40","lp__",0.505964146743887,2023.85658697555,TRUE,0.2
"41","b_Intercept",0.990680807217341,3962.72322886937,TRUE,0.25
"42","b_erapresent",1.09103721307057,4364.14885228229,TRUE,0.25
