"","tidal_height","air_exposure_proportion"
"1",-0.38,5.70787115432181e-05
"2",-0.37,0.000247341083353945
"3",-0.36,0.000513708403888963
"4",-0.35,0.00091325938469149
"5",-0.34,0.00123670541676973
"6",-0.33,0.00165528263475332
"7",-0.32,0.00197872866683156
"8",-0.31,0.00243535835917731
"9",-0.3,0.00294906676306627
"10",-0.29,0.00346277516695523
"11",-0.28,0.00403356228238741
"12",-0.27,0.00475655929526817
"13",-0.26,0.00542247759660572
"14",-0.25,0.00631671074411614
"15",-0.24,0.00721094389162655
"16",-0.23,0.00810517703913697
"17",-0.22,0.0091325938469149
"18",-0.21,0.0101219581803307
"19",-0.2,0.011244506174014
"20",-0.19,0.0123860804048783
"21",-0.18,0.0132993397895698
"22",-0.17,0.0145931239178828
"23",-0.16,0.0156395669628418
"24",-0.15,0.0170284822770601
"25",-0.14,0.0182271352194676
"26",-0.13,0.0197872866683156
"27",-0.12,0.0214996480146122
"28",-0.11,0.0228505108544683
"29",-0.1,0.0246580033866702
"30",-0.09,0.0261991285983371
"31",-0.08,0.0280446736049012
"32",-0.07,0.029833139899922
"33",-0.06,0.0318308948039346
"34",-0.05,0.0336764398104987
"35",-0.04,0.0356171160029681
"36",-0.03,0.0375577921954375
"37",-0.02,0.0398219144199852
"38",-0.01,0.0422953252535246
"39",0,0.044502368766529
"40",0.01,0.0468235697026199
"41",0.02,0.0496584790425997
"42",0.03,0.0519226012671474
"43",0.04,0.0545482219981354
"44",0.05,0.0571167640175802
"45",0.0600000000000001,0.0602370669152762
"46",0.0700000000000001,0.0631861336783424
"47",0.08,0.0663064365760384
"48",0.09,0.0691984246275614
"49",0.1,0.0717859928841873
"50",0.11,0.0752487680511425
"51",0.12,0.0784261496603817
"52",0.13,0.0816415837439829
"53",0.14,0.0847809128788599
"54",0.15,0.088472002891988
"55",0.16,0.0923153028025647
"56",0.17,0.0961586027131414
"57",0.18,0.0995452729313724
"58",0.19,0.103388572841949
"59",0.2,0.106927452957629
"60",0.21,0.110371201887403
"61",0.22,0.114062291900531
"62",0.23,0.117658250727754
"63",0.24,0.121406419452425
"64",0.25,0.125420955497631
"65",0.26,0.128845678190224
"66",0.27,0.133069502844422
"67",0.28,0.137141117601172
"68",0.29,0.140889286325843
"69",0.3,0.144960901082593
"70",0.31,0.148975437127799
"71",0.32,0.152685553378108
"72",0.33,0.156357617154055
"73",0.34,0.160238969538994
"74",0.35,0.164481820430373
"75",0.36,0.168401225289674
"76",0.37,0.172567971232329
"77",0.38,0.177248425578873
"78",0.39,0.181719591316425
"79",0.4,0.185924389733442
"80",0.41,0.190338476759451
"81",0.42,0.194733537548279
"82",0.43,0.199661332978177
"83",0.44,0.204075420004186
"84",0.45,0.208831979299454
"85",0.46,0.212979699004928
"86",0.47,0.217469890979661
"87",0.48,0.222645027492913
"88",0.49,0.227249376890732
"89",0.5,0.231758595102647
"90",0.51,0.236553206872277
"91",0.52,0.241081451321372
"92",0.53,0.246294640308986
