"","Estimate","Est.Error","Q2.5","Q97.5","bpv_discrep","truncate","quantile"
"1",0.346310530430151,0.0135711536807021,0.319088930315809,0.37239590305346,0.516206890459364,FALSE,NA
"2",0.376406884589482,0.0138626352576911,0.348564258167172,0.402475320712842,0.515700765864333,TRUE,0
"3",0.312809978545211,0.0212185183527612,0.270344422637006,0.352035991386187,0.503492339121553,TRUE,0.1
"4",0.323457242685645,0.0221801879677272,0.279493687536528,0.364753417534576,0.495971420323326,TRUE,0.15
"5",0.375355192765841,0.0216489486042633,0.331080419513916,0.415762101938629,0.492859810126582,TRUE,0.2
"6",0.41687137041888,0.0211338899708583,0.372677449693644,0.455418101983653,0.492122319034853,TRUE,0.25
"7",0.45058849807233,0.0203385004179778,0.408381608615398,0.487589983475939,0.493218481375358,TRUE,0.3
"8",0.474655430845509,0.0193432039519997,0.434199624921147,0.511180443862232,0.492752663622527,TRUE,0.35
"9",0.493476481561744,0.0193403445811453,0.453392996325383,0.52795440300988,0.493624796747967,TRUE,0.4
"10",0.539194762815402,0.0180262778159663,0.50141898220302,0.571440055393456,0.493197132616487,TRUE,0.45
"11",0.396030263019634,0.0165565454122929,0.361155749472037,0.426097196844793,0.508205907906169,TRUE,0.05
"12",0.576551704756648,0.0176876137577464,0.540395438178219,0.608482264843706,0.49390988372093,TRUE,0.5
