"",".variable","rhat","eff_samples","truncate","quantile"
"63","r_sampleUnit[HighRock_zoneD,Intercept]",0.293297151558727,1173.18860623491,TRUE,0.15
"64","r_sampleUnit[zoneA_area1,Intercept]",0.355857522396133,1423.43008958453,TRUE,0.15
"65","r_sampleUnit[zoneA_area2,Intercept]",0.394838674954344,1579.35469981737,TRUE,0.15
"66","r_sampleUnit[zoneA_area3,Intercept]",0.359512846162973,1438.05138465189,TRUE,0.15
"67","r_sampleUnit[zoneB_area1,Intercept]",0.364390077522307,1457.56031008923,TRUE,0.15
"68","r_sampleUnit[zoneB_area2,Intercept]",0.353249571149163,1412.99828459665,TRUE,0.15
"69","r_sampleUnit[zoneC_area1,Intercept]",0.364550122567186,1458.20049026875,TRUE,0.15
"70","r_sampleUnit[zoneC_area2,Intercept]",0.366573437511789,1466.29375004716,TRUE,0.15
"71","r_sampleUnit[zoneD_area1,Intercept]",0.342874580557272,1371.49832222909,TRUE,0.15
"72","lp__",0.228188108926809,912.752435707234,TRUE,0.15
"73","b_Intercept",0.30807863728628,1232.31454914512,TRUE,0.2
"74","b_erapresent",0.311217112942052,1244.86845176821,TRUE,0.2
"75","sd_sampleUnit__Intercept",0.262002524787111,1048.01009914844,TRUE,0.2
"76","sigma",0.718898136948417,2875.59254779367,TRUE,0.2
"77","nu",0.67977531350142,2719.10125400568,TRUE,0.2
"78","r_sampleUnit[HighRock_zoneA,Intercept]",0.309520451806766,1238.08180722706,TRUE,0.2
"79","r_sampleUnit[HighRock_zoneB,Intercept]",0.303019214092231,1212.07685636892,TRUE,0.2
"80","r_sampleUnit[HighRock_zoneC,Intercept]",0.303015739703311,1212.06295881324,TRUE,0.2
"81","r_sampleUnit[HighRock_zoneD,Intercept]",0.318596301483251,1274.38520593301,TRUE,0.2
"82","r_sampleUnit[zoneA_area1,Intercept]",0.382376363130738,1529.50545252295,TRUE,0.2
"83","r_sampleUnit[zoneA_area2,Intercept]",0.418056437145561,1672.22574858224,TRUE,0.2
"84","r_sampleUnit[zoneA_area3,Intercept]",0.395421187806678,1581.68475122671,TRUE,0.2
"85","r_sampleUnit[zoneB_area1,Intercept]",0.383580962769175,1534.3238510767,TRUE,0.2
"86","r_sampleUnit[zoneB_area2,Intercept]",0.394481981330588,1577.92792532235,TRUE,0.2
"87","r_sampleUnit[zoneC_area1,Intercept]",0.375671398261918,1502.68559304767,TRUE,0.2
"88","r_sampleUnit[zoneC_area2,Intercept]",0.407130623230785,1628.52249292314,TRUE,0.2
"89","r_sampleUnit[zoneD_area1,Intercept]",0.36806619564616,1472.26478258464,TRUE,0.2
"90","lp__",0.226109854020044,904.439416080176,TRUE,0.2
"91","b_Intercept",0.349396757241605,1397.58702896642,TRUE,0.25
"92","b_erapresent",0.370865849700907,1483.46339880363,TRUE,0.25
"93","sd_sampleUnit__Intercept",0.199292621840119,797.170487360477,TRUE,0.25
"94","sigma",0.65196521778729,2607.86087114916,TRUE,0.25
"95","nu",0.703183233038282,2812.73293215313,TRUE,0.25
"96","r_sampleUnit[HighRock_zoneA,Intercept]",0.34565187411538,1382.60749646152,TRUE,0.25
"97","r_sampleUnit[HighRock_zoneB,Intercept]",0.346561720350337,1386.24688140135,TRUE,0.25
"98","r_sampleUnit[HighRock_zoneC,Intercept]",0.352117368768568,1408.46947507427,TRUE,0.25
"99","r_sampleUnit[HighRock_zoneD,Intercept]",0.363969647203056,1455.87858881222,TRUE,0.25
"100","r_sampleUnit[zoneA_area1,Intercept]",0.397707818994946,1590.83127597978,TRUE,0.25
"101","r_sampleUnit[zoneA_area2,Intercept]",0.433100810095132,1732.40324038053,TRUE,0.25
"102","r_sampleUnit[zoneA_area3,Intercept]",0.388639822787406,1554.55929114962,TRUE,0.25
"103","r_sampleUnit[zoneB_area1,Intercept]",0.413180307457963,1652.72122983185,TRUE,0.25
"104","r_sampleUnit[zoneB_area2,Intercept]",0.426770926048437,1707.08370419375,TRUE,0.25
"105","r_sampleUnit[zoneC_area1,Intercept]",0.38260923199801,1530.43692799204,TRUE,0.25
"106","r_sampleUnit[zoneC_area2,Intercept]",0.423309059488771,1693.23623795508,TRUE,0.25
"107","r_sampleUnit[zoneD_area1,Intercept]",0.380913954457753,1523.65581783101,TRUE,0.25
"108","lp__",0.175739926302415,702.959705209662,TRUE,0.25
"109","b_Intercept",0.235072010081486,940.288040325943,TRUE,0.3
"110","b_erapresent",0.30019856888937,1200.79427555748,TRUE,0.3
"111","sd_sampleUnit__Intercept",0.178714473189987,714.857892759946,TRUE,0.3
"112","sigma",0.708626012571934,2834.50405028774,TRUE,0.3
"113","nu",0.722753618663314,2891.01447465326,TRUE,0.3
"114","r_sampleUnit[HighRock_zoneA,Intercept]",0.241650333091715,966.601332366861,TRUE,0.3
"115","r_sampleUnit[HighRock_zoneB,Intercept]",0.240525199630117,962.10079852047,TRUE,0.3
"116","r_sampleUnit[HighRock_zoneC,Intercept]",0.234740452470786,938.961809883142,TRUE,0.3
"117","r_sampleUnit[HighRock_zoneD,Intercept]",0.235140698551744,940.562794206975,TRUE,0.3
"118","r_sampleUnit[zoneA_area1,Intercept]",0.204907230041101,819.628920164403,TRUE,0.3
"119","r_sampleUnit[zoneA_area2,Intercept]",0.256350257943833,1025.40103177533,TRUE,0.3
"120","r_sampleUnit[zoneA_area3,Intercept]",0.2143734786196,857.493914478399,TRUE,0.3
"121","r_sampleUnit[zoneB_area1,Intercept]",0.225386483790365,901.545935161459,TRUE,0.3
"122","r_sampleUnit[zoneB_area2,Intercept]",0.241601670054782,966.406680219127,TRUE,0.3
"123","r_sampleUnit[zoneC_area1,Intercept]",0.189801683398522,759.206733594086,TRUE,0.3
"124","r_sampleUnit[zoneC_area2,Intercept]",0.212005047783549,848.020191134198,TRUE,0.3
"125","r_sampleUnit[zoneD_area1,Intercept]",0.196243657016571,784.974628066283,TRUE,0.3
"126","lp__",0.217178026570861,868.712106283444,TRUE,0.3
"127","b_Intercept",0.291139869607421,1164.55947842968,TRUE,0.35
"128","b_erapresent",0.287080723177828,1148.32289271131,TRUE,0.35
"129","sd_sampleUnit__Intercept",0.16971701170077,678.868046803079,TRUE,0.35
"130","sigma",0.68781163662356,2751.24654649424,TRUE,0.35
"131","nu",0.716228808956788,2864.91523582715,TRUE,0.35
"132","r_sampleUnit[HighRock_zoneA,Intercept]",0.293678662493455,1174.71464997382,TRUE,0.35
"133","r_sampleUnit[HighRock_zoneB,Intercept]",0.291431864981824,1165.7274599273,TRUE,0.35
"134","r_sampleUnit[HighRock_zoneC,Intercept]",0.294476435529634,1177.90574211853,TRUE,0.35
"135","r_sampleUnit[HighRock_zoneD,Intercept]",0.295798302062439,1183.19320824976,TRUE,0.35
"136","r_sampleUnit[zoneA_area1,Intercept]",0.375613826450813,1502.45530580325,TRUE,0.35
"137","r_sampleUnit[zoneA_area2,Intercept]",0.394187134171267,1576.74853668507,TRUE,0.35
"138","r_sampleUnit[zoneA_area3,Intercept]",0.315027323755252,1260.10929502101,TRUE,0.35
"139","r_sampleUnit[zoneB_area1,Intercept]",0.329309375447063,1317.23750178825,TRUE,0.35
"140","r_sampleUnit[zoneB_area2,Intercept]",0.336840615741884,1347.36246296754,TRUE,0.35
"141","r_sampleUnit[zoneC_area1,Intercept]",0.298600333480888,1194.40133392355,TRUE,0.35
"142","r_sampleUnit[zoneC_area2,Intercept]",0.326008037442851,1304.0321497714,TRUE,0.35
"143","r_sampleUnit[zoneD_area1,Intercept]",0.322894831574237,1291.57932629695,TRUE,0.35
"144","lp__",0.230393146737133,921.572586948531,TRUE,0.35
"145","b_Intercept",0.373252782269487,1493.01112907795,TRUE,0.4
"146","b_erapresent",0.367464671320763,1469.85868528305,TRUE,0.4
"147","sd_sampleUnit__Intercept",0.255839586200639,1023.35834480256,TRUE,0.4
"148","sigma",0.851717338830467,3406.86935532187,TRUE,0.4
"149","nu",0.81690966094865,3267.6386437946,TRUE,0.4
"150","r_sampleUnit[HighRock_zoneA,Intercept]",0.370395642950657,1481.58257180263,TRUE,0.4
"151","r_sampleUnit[HighRock_zoneB,Intercept]",0.381533069320989,1526.13227728396,TRUE,0.4
"152","r_sampleUnit[HighRock_zoneC,Intercept]",0.378542212296655,1514.16884918662,TRUE,0.4
"153","r_sampleUnit[HighRock_zoneD,Intercept]",0.386222399939302,1544.88959975721,TRUE,0.4
"154","r_sampleUnit[zoneA_area1,Intercept]",0.395293605257564,1581.17442103026,TRUE,0.4
"155","r_sampleUnit[zoneA_area2,Intercept]",0.404186952530305,1616.74781012122,TRUE,0.4
"156","r_sampleUnit[zoneA_area3,Intercept]",0.386827819862129,1547.31127944852,TRUE,0.4
"157","r_sampleUnit[zoneB_area1,Intercept]",0.402355355282737,1609.42142113095,TRUE,0.4
"158","r_sampleUnit[zoneB_area2,Intercept]",0.436373249036022,1745.49299614409,TRUE,0.4
"159","r_sampleUnit[zoneC_area1,Intercept]",0.366591421281849,1466.3656851274,TRUE,0.4
"160","r_sampleUnit[zoneC_area2,Intercept]",0.398701931672312,1594.80772668925,TRUE,0.4
"161","r_sampleUnit[zoneD_area1,Intercept]",0.36292501791265,1451.7000716506,TRUE,0.4
"162","lp__",0.233232888137994,932.931552551975,TRUE,0.4
"163","b_Intercept",0.316414330947685,1265.65732379074,TRUE,0.45
"164","b_erapresent",0.322807500038301,1291.23000015321,TRUE,0.45
"165","sd_sampleUnit__Intercept",0.218126043492711,872.504173970844,TRUE,0.45
"166","sigma",0.763518456555582,3054.07382622233,TRUE,0.45
"167","nu",0.74712193129273,2988.48772517092,TRUE,0.45
"168","r_sampleUnit[HighRock_zoneA,Intercept]",0.318017518709134,1272.07007483653,TRUE,0.45
"169","r_sampleUnit[HighRock_zoneB,Intercept]",0.315505686913627,1262.02274765451,TRUE,0.45
"170","r_sampleUnit[HighRock_zoneC,Intercept]",0.319764524138428,1279.05809655371,TRUE,0.45
"171","r_sampleUnit[HighRock_zoneD,Intercept]",0.328615137393708,1314.46054957483,TRUE,0.45
"172","r_sampleUnit[zoneA_area1,Intercept]",0.427914278806175,1711.6571152247,TRUE,0.45
"173","r_sampleUnit[zoneA_area2,Intercept]",0.428913281651791,1715.65312660716,TRUE,0.45
"174","r_sampleUnit[zoneA_area3,Intercept]",0.378047848949282,1512.19139579713,TRUE,0.45
"175","r_sampleUnit[zoneB_area1,Intercept]",0.389522561988283,1558.09024795313,TRUE,0.45
"176","r_sampleUnit[zoneB_area2,Intercept]",0.397140689730122,1588.56275892049,TRUE,0.45
"177","r_sampleUnit[zoneC_area1,Intercept]",0.3430645629629,1372.2582518516,TRUE,0.45
"178","r_sampleUnit[zoneC_area2,Intercept]",0.384607432341637,1538.42972936655,TRUE,0.45
"179","r_sampleUnit[zoneD_area1,Intercept]",0.358288821998048,1433.15528799219,TRUE,0.45
"180","lp__",0.212490849420574,849.963397682295,TRUE,0.45
