"",".variable",".value",".lower",".upper",".width",".point",".interval","variable","truncate","quantile"
"1","b_erapresent",-0.274524632662795,-0.644362425184282,0.0965835739491793,0.95,"median","qi","Era",FALSE,NA
"2","b_erapresent",-0.274524632662795,-0.500604291517401,-0.0434620007844557,0.8,"median","qi","Era",FALSE,NA
"3","b_erapresent",-0.212970164117493,-0.585595063800663,0.172707021272194,0.95,"median","qi","Era",TRUE,0
"4","b_erapresent",-0.212970164117493,-0.438189255807368,0.0304712418110161,0.8,"median","qi","Era",TRUE,0
"5","b_erapresent",-0.0413760577350838,-0.316436996419134,0.213821438608157,0.95,"median","qi","Era",TRUE,0.1
"6","b_erapresent",-0.0413760577350838,-0.208880852184809,0.120942630413893,0.8,"median","qi","Era",TRUE,0.1
"7","b_erapresent",0.0242509964925695,-0.190858641661963,0.247171584301884,0.95,"median","qi","Era",TRUE,0.15
"8","b_erapresent",0.0242509964925695,-0.111738255613694,0.15657888046222,0.8,"median","qi","Era",TRUE,0.15
"9","b_erapresent",0.0664964806057311,-0.131996853025697,0.260788854001892,0.95,"median","qi","Era",TRUE,0.2
"10","b_erapresent",0.0664964806057311,-0.0570349249480513,0.184926492188827,0.8,"median","qi","Era",TRUE,0.2
"11","b_erapresent",0.0727333150859616,-0.113557961440721,0.260290011942968,0.95,"median","qi","Era",TRUE,0.25
"12","b_erapresent",0.0727333150859616,-0.046777834053703,0.189125290815184,0.8,"median","qi","Era",TRUE,0.25
"13","b_erapresent",0.0807263092241934,-0.103403378360412,0.269188344342396,0.95,"median","qi","Era",TRUE,0.3
"14","b_erapresent",0.0807263092241934,-0.0294942058232295,0.194258902941105,0.8,"median","qi","Era",TRUE,0.3
"15","b_erapresent",0.0906597261444902,-0.0886134832099645,0.275095492247263,0.95,"median","qi","Era",TRUE,0.35
"16","b_erapresent",0.0906597261444902,-0.017285343979651,0.197535469301254,0.8,"median","qi","Era",TRUE,0.35
"17","b_erapresent",0.0847461779250991,-0.0740811968177319,0.255222315276188,0.95,"median","qi","Era",TRUE,0.4
"18","b_erapresent",0.0847461779250991,-0.0176066751173115,0.189300165847959,0.8,"median","qi","Era",TRUE,0.4
"19","b_erapresent",0.0888607722567186,-0.0867297035215034,0.253263749583159,0.95,"median","qi","Era",TRUE,0.45
"20","b_erapresent",0.0888607722567186,-0.0119311376968412,0.191198882806391,0.8,"median","qi","Era",TRUE,0.45
"21","b_erapresent",-0.130210263437368,-0.445681005487996,0.208842734098844,0.95,"median","qi","Era",TRUE,0.05
"22","b_erapresent",-0.130210263437368,-0.327719397800401,0.0720910198387,0.8,"median","qi","Era",TRUE,0.05
"23","b_erapresent",0.0968504430638535,-0.0675744022505694,0.255992218065437,0.95,"median","qi","Era",TRUE,0.5
"24","b_erapresent",0.0968504430638535,-0.00368964472458549,0.196852557889286,0.8,"median","qi","Era",TRUE,0.5
