"",".variable","rhat","eff_samples","truncate","quantile"
"1","b_Intercept",0.763127651078234,3052.51060431293,FALSE,NA
"2","b_erapresent",0.619862054651754,2479.44821860702,FALSE,NA
"3","sigma",0.471138769954633,1884.55507981853,FALSE,NA
"4","nu",0.496328364625864,1985.31345850346,FALSE,NA
"5","lp__",0.459003505664284,1836.01402265714,FALSE,NA
"6","b_Intercept",0.716620177759199,2866.4807110368,TRUE,0
"7","b_erapresent",0.608126235708998,2432.50494283599,TRUE,0
"8","sigma",0.560483898096247,2241.93559238499,TRUE,0
"9","nu",0.574614932609678,2298.45973043871,TRUE,0
"10","lp__",0.473955352217241,1895.82140886896,TRUE,0
"11","b_Intercept",1.15930537530515,4637.2215012206,TRUE,0.1
"12","b_erapresent",0.928048654494477,3712.19461797791,TRUE,0.1
"13","sigma",0.99890621579625,3995.624863185,TRUE,0.1
"14","nu",0.874997625962255,3499.99050384902,TRUE,0.1
"15","lp__",0.450459197503728,1801.83679001491,TRUE,0.1
"16","b_Intercept",1.0839167203547,4335.66688141879,TRUE,0.15
"17","b_erapresent",1.12914772792005,4516.59091168018,TRUE,0.15
"18","sigma",1.03173245727799,4126.92982911198,TRUE,0.15
"19","nu",0.977394344916396,3909.57737966558,TRUE,0.15
"20","lp__",0.507445133436068,2029.78053374427,TRUE,0.15
"21","b_Intercept",1.16349680187708,4653.98720750833,TRUE,0.2
"22","b_erapresent",1.00665432136021,4026.61728544086,TRUE,0.2
"23","sigma",0.966718158454146,3866.87263381658,TRUE,0.2
"24","nu",0.985245926554584,3940.98370621834,TRUE,0.2
"25","lp__",0.492093936844847,1968.37574737939,TRUE,0.2
"26","b_Intercept",1.2698341044105,5079.33641764198,TRUE,0.25
"27","b_erapresent",1.12943476623862,4517.73906495449,TRUE,0.25
"28","sigma",0.802578068659081,3210.31227463632,TRUE,0.25
"29","nu",0.865163347108987,3460.65338843595,TRUE,0.25
"30","lp__",0.434944207353731,1739.77682941493,TRUE,0.25
"31","b_Intercept",1.26249973041732,5049.99892166927,TRUE,0.3
"32","b_erapresent",1.03582878301577,4143.31513206307,TRUE,0.3
"33","sigma",0.899048427063516,3596.19370825406,TRUE,0.3
"34","nu",0.965229855762434,3860.91942304974,TRUE,0.3
"35","lp__",0.523872940699327,2095.49176279731,TRUE,0.3
"36","b_Intercept",1.16630039728681,4665.20158914725,TRUE,0.35
"37","b_erapresent",0.892490148348881,3569.96059339552,TRUE,0.35
"38","sigma",0.942342789235701,3769.3711569428,TRUE,0.35
"39","nu",0.983380213389338,3933.52085355735,TRUE,0.35
"40","lp__",0.476276326041131,1905.10530416453,TRUE,0.35
"41","b_Intercept",1.26646884343988,5065.87537375951,TRUE,0.4
"42","b_erapresent",0.976774297397165,3907.09718958866,TRUE,0.4
"43","sigma",0.918383104675297,3673.53241870119,TRUE,0.4
"44","nu",0.916344810858435,3665.37924343374,TRUE,0.4
"45","lp__",0.468479349813517,1873.91739925407,TRUE,0.4
"46","b_Intercept",1.11512890719862,4460.51562879448,TRUE,0.45
"47","b_erapresent",0.965880067364752,3863.52026945901,TRUE,0.45
"48","sigma",0.813660491904061,3254.64196761625,TRUE,0.45
"49","nu",0.785554577987127,3142.21831194851,TRUE,0.45
"50","lp__",0.526865219285173,2107.46087714069,TRUE,0.45
"51","b_Intercept",1.11816052961577,4472.6421184631,TRUE,0.05
"52","b_erapresent",0.991665317343511,3966.66126937404,TRUE,0.05
"53","sigma",0.882815094035765,3531.26037614306,TRUE,0.05
"54","nu",0.961538379563313,3846.15351825325,TRUE,0.05
"55","lp__",0.459684316519843,1838.73726607937,TRUE,0.05
"56","b_Intercept",1.10668128451357,4426.72513805426,TRUE,0.5
"57","b_erapresent",0.932755536007712,3731.02214403085,TRUE,0.5
"58","sigma",0.800517462438838,3202.06984975535,TRUE,0.5
"59","nu",0.829832247156551,3319.32898862621,TRUE,0.5
"60","lp__",0.495626300120157,1982.50520048063,TRUE,0.5
