"",".variable","rhat","truncate","quantile"
"1","b_Intercept",0.99964207577749,FALSE,NA
"2","b_erapresent",0.99984537395748,FALSE,NA
"3","sigma",0.999860508505967,FALSE,NA
"4","nu",1.00036826551127,FALSE,NA
"5","lp__",1.00057467220168,FALSE,NA
"6","b_Intercept",1.00064181768193,TRUE,0
"7","b_erapresent",1.00037912129027,TRUE,0
"8","sigma",1.00063594999992,TRUE,0
"9","nu",1.00148823252839,TRUE,0
"10","lp__",1.0019395595552,TRUE,0
"11","b_Intercept",0.999646224418172,TRUE,0.1
"12","b_erapresent",0.999856542004609,TRUE,0.1
"13","sigma",1.00039321098811,TRUE,0.1
"14","nu",1.00005040940758,TRUE,0.1
"15","lp__",1.00008210210276,TRUE,0.1
"16","b_Intercept",0.999730456373642,TRUE,0.15
"17","b_erapresent",0.999423629935807,TRUE,0.15
"18","sigma",0.999276611996795,TRUE,0.15
"19","nu",0.999276395217894,TRUE,0.15
"20","lp__",1.00007550274858,TRUE,0.15
"21","b_Intercept",0.999801200126585,TRUE,0.2
"22","b_erapresent",0.999423995547793,TRUE,0.2
"23","sigma",0.999563790848183,TRUE,0.2
"24","nu",0.999965515682483,TRUE,0.2
"25","lp__",1.0014011249246,TRUE,0.2
"26","b_Intercept",0.999702010428109,TRUE,0.25
"27","b_erapresent",1.00010645055449,TRUE,0.25
"28","sigma",1.00097724762061,TRUE,0.25
"29","nu",1.0009959437017,TRUE,0.25
"30","lp__",0.999959489420133,TRUE,0.25
"31","b_Intercept",0.999891586218195,TRUE,0.3
"32","b_erapresent",1.00083421946408,TRUE,0.3
"33","sigma",0.999458744638322,TRUE,0.3
"34","nu",1.00019286098353,TRUE,0.3
"35","lp__",1.00014363843065,TRUE,0.3
"36","b_Intercept",0.999924070924351,TRUE,0.35
"37","b_erapresent",0.999759542286508,TRUE,0.35
"38","sigma",1.00076437695418,TRUE,0.35
"39","nu",1.00086650199367,TRUE,0.35
"40","lp__",1.00180784779893,TRUE,0.35
"41","b_Intercept",0.999408976864549,TRUE,0.4
"42","b_erapresent",0.999149762052715,TRUE,0.4
"43","sigma",0.999585484021697,TRUE,0.4
"44","nu",0.999801593465196,TRUE,0.4
"45","lp__",1.0037484394463,TRUE,0.4
"46","b_Intercept",0.999475291354839,TRUE,0.45
"47","b_erapresent",1.00002276002783,TRUE,0.45
"48","sigma",0.999434258602861,TRUE,0.45
"49","nu",1.00089781031217,TRUE,0.45
"50","lp__",1.00083920804347,TRUE,0.45
"51","b_Intercept",0.999338131272409,TRUE,0.05
"52","b_erapresent",1.00012088370366,TRUE,0.05
"53","sigma",1.00086390663872,TRUE,0.05
"54","nu",0.99933981011805,TRUE,0.05
"55","lp__",1.00113825698588,TRUE,0.05
"56","b_Intercept",1.00018313755107,TRUE,0.5
"57","b_erapresent",0.999540289309115,TRUE,0.5
"58","sigma",0.999487600022365,TRUE,0.5
"59","nu",0.999742791322549,TRUE,0.5
"60","lp__",1.00198695530502,TRUE,0.5
