"",".variable","rhat","eff_samples","truncate","quantile"
"1","b_Intercept",1.04916991632128,4196.67966528512,FALSE,NA
"2","b_sampleAreaWara.D",0.939434246733329,3757.73698693331,FALSE,NA
"3","b_erapresent",1.15851536277143,4634.06145108571,FALSE,NA
"4","b_x2z",0.823970288191534,3295.88115276613,FALSE,NA
"5","b_x3z",0.825787529448788,3303.15011779515,FALSE,NA
"6","b_erapresent:x2z",0.852458984274955,3409.83593709982,FALSE,NA
"7","b_erapresent:x3z",0.807383685724538,3229.53474289815,FALSE,NA
"8","sigma",0.970407022779417,3881.62809111767,FALSE,NA
"9","lp__",0.342459935681118,1369.83974272447,FALSE,NA
