"","Estimate","Est.Error","Q2.5","Q97.5","bpv_discrep","truncate","quantile"
"1",0.208600630181826,0.0190479128972348,0.171306537912845,0.244802513088533,0.506584699453552,FALSE,NA
"2",0.202800446426097,0.019151937613079,0.163960354371896,0.239487540365774,0.503383640552995,TRUE,0
"3",0.181481345110061,0.0216761614076592,0.139694922901401,0.223409214287467,0.505658079625293,TRUE,0.1
"4",0.181170293998784,0.0224790898607193,0.136781019413654,0.226475347439795,0.506275259067357,TRUE,0.15
"5",0.172502213529758,0.0228330221406023,0.127863896084004,0.218419622049834,0.509705369595537,TRUE,0.2
"6",0.120160899194348,0.0228230269185921,0.0777940427875155,0.166179041690176,0.513138794567063,TRUE,0.25
"7",0.125512119814515,0.0246258463754071,0.0783453356795679,0.174833763436295,0.509029795158287,TRUE,0.3
"8",0.0919128539983828,0.0229097536106559,0.0500038374017395,0.140607201744638,0.50803256302521,TRUE,0.35
"9",0.0914520625582205,0.0250311737795589,0.0461275305120335,0.141288377405777,0.508807738095238,TRUE,0.4
"10",0.0617580339528623,0.0227179601890097,0.0231483616684941,0.109704976313532,0.50942243767313,TRUE,0.45
"11",0.168004615723135,0.0202412523381567,0.127496965673209,0.208835060951129,0.506926724137931,TRUE,0.05
"12",0.0635923123673337,0.0246628266812677,0.0228291809098003,0.115973403903692,0.505431327160494,TRUE,0.5
