"",".variable",".value",".lower",".upper",".width",".point",".interval","variable","truncate","quantile"
"41","b_erapresent:sampleAreaWara.D",-0.0173029615673085,-0.0393907785381353,0.0054231455151465,0.8,"median","qi","Sample Area",TRUE,0.3
"42","b_sampleAreaWara.D",-0.00898697417789649,-0.0288305094262159,0.0102446910240506,0.8,"median","qi","Era x Sample Area",TRUE,0.3
"43","b_erapresent",-0.138213868983135,-0.168738221827254,-0.107757496401439,0.95,"median","qi","Era",TRUE,0.35
"44","b_erapresent:sampleAreaWara.D",0.0119314615428782,-0.0216429508490673,0.0449632551562604,0.95,"median","qi","Sample Area",TRUE,0.35
"45","b_sampleAreaWara.D",-0.0119898854906974,-0.0418516568091746,0.0170421950558167,0.95,"median","qi","Era x Sample Area",TRUE,0.35
"46","b_erapresent",-0.138213868983135,-0.157812212050976,-0.118070189839461,0.8,"median","qi","Era",TRUE,0.35
"47","b_erapresent:sampleAreaWara.D",0.0119314615428782,-0.00936347296436733,0.0330866052657529,0.8,"median","qi","Sample Area",TRUE,0.35
"48","b_sampleAreaWara.D",-0.0119898854906974,-0.0313451316596587,0.00545545400910843,0.8,"median","qi","Era x Sample Area",TRUE,0.35
"49","b_erapresent",-0.147359144434883,-0.176686068002922,-0.120022648275159,0.95,"median","qi","Era",TRUE,0.4
"50","b_erapresent:sampleAreaWara.D",0.0286700177550381,-0.00161714507416485,0.0600055581172475,0.95,"median","qi","Sample Area",TRUE,0.4
"51","b_sampleAreaWara.D",-0.0085969729057263,-0.0366857900420487,0.0167465220490046,0.95,"median","qi","Era x Sample Area",TRUE,0.4
"52","b_erapresent",-0.147359144434883,-0.16650876859374,-0.12915773833554,0.8,"median","qi","Era",TRUE,0.4
"53","b_erapresent:sampleAreaWara.D",0.0286700177550381,0.00925636896093758,0.0493579491160048,0.8,"median","qi","Sample Area",TRUE,0.4
"54","b_sampleAreaWara.D",-0.0085969729057263,-0.0262942800378197,0.00818414139800365,0.8,"median","qi","Era x Sample Area",TRUE,0.4
"55","b_erapresent",-0.144056294893449,-0.172844309618089,-0.11566754670563,0.95,"median","qi","Era",TRUE,0.45
"56","b_erapresent:sampleAreaWara.D",0.0339009849045558,0.00306291241245528,0.0651880526194661,0.95,"median","qi","Sample Area",TRUE,0.45
