"",".rownames","Estimate","SE","truncate","quantile"
"1","elpd_waic",202.217186080761,26.5415583865384,FALSE,NA
"2","p_waic",30.5201654335411,2.31081265714172,FALSE,NA
"3","waic",-404.434372161522,53.0831167730769,FALSE,NA
"4","elpd_loo",201.902229541666,26.5551906744398,FALSE,NA
"5","p_loo",30.8351219726354,2.35749707960077,FALSE,NA
"6","looic",-403.804459083333,53.1103813488797,FALSE,NA
"7","elpd_waic",250.079896358164,25.0545402379443,TRUE,0
"8","p_waic",31.1098638974795,2.37936067928671,TRUE,0
"9","waic",-500.159792716327,50.1090804758887,TRUE,0
"10","elpd_loo",249.828283362099,25.0645447596961,TRUE,0
"11","p_loo",31.3614768935437,2.41487358435386,TRUE,0
"12","looic",-499.656566724199,50.1290895193922,TRUE,0
"13","elpd_waic",429.515115333111,22.1044469366243,TRUE,0.1
"14","p_waic",28.3253213719252,2.35607459563474,TRUE,0.1
"15","waic",-859.030230666223,44.2088938732485,TRUE,0.1
"16","elpd_loo",429.213354729027,22.1181016684781,TRUE,0.1
"17","p_loo",28.6270819760095,2.39948339222905,TRUE,0.1
"18","looic",-858.426709458054,44.2362033369562,TRUE,0.1
"19","elpd_waic",449.007995014292,21.2295010170718,TRUE,0.15
"20","p_waic",26.8066441462869,2.18902665526259,TRUE,0.15
"21","waic",-898.015990028583,42.4590020341436,TRUE,0.15
"22","elpd_loo",448.580019472569,21.2560612367369,TRUE,0.15
"23","p_loo",27.2346196880094,2.30360294989047,TRUE,0.15
"24","looic",-897.160038945137,42.5121224734738,TRUE,0.15
"25","elpd_waic",442.017496438461,20.8213501973036,TRUE,0.2
"26","p_waic",26.083127813827,2.2683144878634,TRUE,0.2
"27","waic",-884.034992876921,41.6427003946072,TRUE,0.2
"28","elpd_loo",441.639764980494,20.844560786101,TRUE,0.2
"29","p_loo",26.4608592717944,2.35625156832699,TRUE,0.2
"30","looic",-883.279529960987,41.6891215722019,TRUE,0.2
"31","elpd_waic",422.758014814966,19.7352451824759,TRUE,0.25
"32","p_waic",22.0687477073189,1.77110197745838,TRUE,0.25
"33","waic",-845.516029629931,39.4704903649518,TRUE,0.25
"34","elpd_loo",422.375201600278,19.7497476975408,TRUE,0.25
"35","p_loo",22.451560922005,1.86256919042813,TRUE,0.25
"36","looic",-844.750403200557,39.4994953950815,TRUE,0.25
"37","elpd_waic",409.294300666328,19.3693269935408,TRUE,0.3
"38","p_waic",21.3542514858076,1.73616836106129,TRUE,0.3
"39","waic",-818.588601332655,38.7386539870817,TRUE,0.3
"40","elpd_loo",408.898586168058,19.3809184615808,TRUE,0.3
"41","p_loo",21.7499659840774,1.82057515269928,TRUE,0.3
"42","looic",-817.797172336116,38.7618369231615,TRUE,0.3
"43","elpd_waic",382.040305828373,18.8500389105333,TRUE,0.35
"44","p_waic",19.8001618359841,1.75414026274539,TRUE,0.35
"45","waic",-764.080611656746,37.7000778210667,TRUE,0.35
"46","elpd_loo",381.460776963703,18.8757329485358,TRUE,0.35
"47","p_loo",20.3796907006535,1.92082588454381,TRUE,0.35
"48","looic",-762.921553927406,37.7514658970717,TRUE,0.35
"49","elpd_waic",351.436685028889,17.9902722057635,TRUE,0.4
"50","p_waic",18.2381096232951,1.69672608843997,TRUE,0.4
"51","waic",-702.873370057779,35.980544411527,TRUE,0.4
"52","elpd_loo",350.973276931213,18.0033588440387,TRUE,0.4
"53","p_loo",18.7015177209724,1.78347792544076,TRUE,0.4
"54","looic",-701.946553862425,36.0067176880773,TRUE,0.4
"55","elpd_waic",315.038861358651,16.6167434266669,TRUE,0.45
"56","p_waic",16.1452644709836,1.64319970159253,TRUE,0.45
"57","waic",-630.077722717302,33.2334868533338,TRUE,0.45
"58","elpd_loo",314.676797933332,16.6234549413302,TRUE,0.45
"59","p_loo",16.5073278963027,1.70442258282477,TRUE,0.45
"60","looic",-629.353595866663,33.2469098826605,TRUE,0.45
"61","elpd_waic",404.543475010972,22.5720064659472,TRUE,0.05
"62","p_waic",28.81008101687,2.25659137129332,TRUE,0.05
"63","waic",-809.086950021943,45.1440129318945,TRUE,0.05
"64","elpd_loo",404.192550731723,22.5867777385741,TRUE,0.05
"65","p_loo",29.1610052961186,2.3178446957893,TRUE,0.05
"66","looic",-808.385101463447,45.1735554771482,TRUE,0.05
"67","elpd_waic",282.089075457879,15.5722972585781,TRUE,0.5
"68","p_waic",14.3123259815072,1.46413262989497,TRUE,0.5
"69","waic",-564.178150915759,31.1445945171562,TRUE,0.5
"70","elpd_loo",281.826083631155,15.5800677756886,TRUE,0.5
"71","p_loo",14.5753178082312,1.49723341307928,TRUE,0.5
"72","looic",-563.652167262311,31.1601355513772,TRUE,0.5
