"",".variable",".value",".lower",".upper",".width",".point",".interval","variable","truncate","quantile"
"45","b_x3z",0.00302890224475268,-0.0564654213749401,0.062975579916204,0.95,"median","qi","Tidal height",TRUE,0.2
"46","b_erapresent",-0.118777433853276,-0.175169772430061,-0.0627693355101702,0.8,"median","qi","Era",TRUE,0.2
"47","b_erapresent:x2z",0.0417080571465172,-0.0322202596476399,0.113047760339831,0.8,"median","qi","Era x Density",TRUE,0.2
"48","b_erapresent:x3z",-0.0129487359088441,-0.0583751151213929,0.0324561471361543,0.8,"median","qi","Era x Tidal height",TRUE,0.2
"49","b_x2z",-0.072184121280664,-0.14139475566196,-0.00228909570883815,0.8,"median","qi","Density",TRUE,0.2
"50","b_x3z",0.00302890224475268,-0.0346426344117734,0.0408744957162718,0.8,"median","qi","Tidal height",TRUE,0.2
"51","b_erapresent",-0.0915529860861804,-0.171925218195175,-0.00701126656647025,0.95,"median","qi","Era",TRUE,0.25
"52","b_erapresent:x2z",0.0214855230351109,-0.0828253179666784,0.128982520420094,0.95,"median","qi","Era x Density",TRUE,0.25
"53","b_erapresent:x3z",-0.0149691318869532,-0.09456102226621,0.0611861649657028,0.95,"median","qi","Era x Tidal height",TRUE,0.25
"54","b_x2z",-0.0406976745322282,-0.141445991973897,0.0584007965817703,0.95,"median","qi","Density",TRUE,0.25
"55","b_x3z",-0.00104521185160707,-0.0687795337786327,0.0628480797293612,0.95,"median","qi","Tidal height",TRUE,0.25
"56","b_erapresent",-0.0915529860861804,-0.145254431719849,-0.0371685144588083,0.8,"median","qi","Era",TRUE,0.25
"57","b_erapresent:x2z",0.0214855230351109,-0.0470897775455693,0.089322014866608,0.8,"median","qi","Era x Density",TRUE,0.25
"58","b_erapresent:x3z",-0.0149691318869532,-0.0633615788765513,0.0311385933492472,0.8,"median","qi","Era x Tidal height",TRUE,0.25
"59","b_x2z",-0.0406976745322282,-0.103330732405085,0.0224881057702195,0.8,"median","qi","Density",TRUE,0.25
"60","b_x3z",-0.00104521185160707,-0.0420144962457554,0.0384317737751067,0.8,"median","qi","Tidal height",TRUE,0.25
"61","b_erapresent",-0.087683007449175,-0.167847507391922,-0.00688281342556611,0.95,"median","qi","Era",TRUE,0.3
"62","b_erapresent:x2z",0.023171436144539,-0.0747669273905872,0.115136483099102,0.95,"median","qi","Era x Density",TRUE,0.3
"63","b_erapresent:x3z",-0.0152467429779574,-0.0868570894917385,0.054816845802352,0.95,"median","qi","Era x Tidal height",TRUE,0.3
"64","b_x2z",-0.0350520797320979,-0.121543772343381,0.0564191895603312,0.95,"median","qi","Density",TRUE,0.3
"65","b_x3z",-0.00833163166599164,-0.0658391063026545,0.0528160323804194,0.95,"median","qi","Tidal height",TRUE,0.3
"66","b_erapresent",-0.087683007449175,-0.137894781098005,-0.0361054378569531,0.8,"median","qi","Era",TRUE,0.3
"67","b_erapresent:x2z",0.023171436144539,-0.0373278948627577,0.0813965426914536,0.8,"median","qi","Era x Density",TRUE,0.3
"68","b_erapresent:x3z",-0.0152467429779574,-0.0622364972571682,0.0291883919570798,0.8,"median","qi","Era x Tidal height",TRUE,0.3
"69","b_x2z",-0.0350520797320979,-0.0873147404130305,0.025199839781156,0.8,"median","qi","Density",TRUE,0.3
"70","b_x3z",-0.00833163166599164,-0.0463711046795253,0.0313618099166735,0.8,"median","qi","Tidal height",TRUE,0.3
"71","b_erapresent",-0.0692368080024914,-0.139090807401539,0.0012969150887604,0.95,"median","qi","Era",TRUE,0.35
"72","b_erapresent:x2z",0.0187227603542461,-0.0668135324049515,0.105346800797891,0.95,"median","qi","Era x Density",TRUE,0.35
"73","b_erapresent:x3z",-0.0106303476164866,-0.0746142936918824,0.0542240182451021,0.95,"median","qi","Era x Tidal height",TRUE,0.35
"74","b_x2z",-0.0277364339992216,-0.109690225410314,0.0513742266192991,0.95,"median","qi","Density",TRUE,0.35
"75","b_x3z",-0.00840642358283185,-0.0631140896996679,0.0434353417722924,0.95,"median","qi","Tidal height",TRUE,0.35
"76","b_erapresent",-0.0692368080024914,-0.113024951170939,-0.0252348923019031,0.8,"median","qi","Era",TRUE,0.35
"77","b_erapresent:x2z",0.0187227603542461,-0.035612701248203,0.07262259481625,0.8,"median","qi","Era x Density",TRUE,0.35
