"",".variable","rhat","eff_samples","truncate","quantile"
"1","b_Intercept",0.698746136502906,2794.98454601163,FALSE,NA
"2","b_erapresent",0.774385505665292,3097.54202266117,FALSE,NA
"3","b_x2z",0.568521317484794,2274.08526993918,FALSE,NA
"4","b_x3z",0.672271609465789,2689.08643786315,FALSE,NA
"5","b_erapresent:x2z",0.64773041859028,2590.92167436112,FALSE,NA
"6","b_erapresent:x3z",0.670518643626651,2682.0745745066,FALSE,NA
"7","sd_sampleUnit__Intercept",0.301957510017477,1207.83004006991,FALSE,NA
"8","sigma",1.06338748396248,4253.54993584994,FALSE,NA
"9","nu",1.02779601503208,4111.18406012833,FALSE,NA
"10","r_sampleUnit[HighRock_zoneA,Intercept]",0.700802206080991,2803.20882432397,FALSE,NA
"11","r_sampleUnit[HighRock_zoneB,Intercept]",0.555185744787235,2220.74297914894,FALSE,NA
"12","r_sampleUnit[HighRock_zoneC,Intercept]",0.552809973421467,2211.23989368587,FALSE,NA
"13","r_sampleUnit[HighRock_zoneD,Intercept]",1.07707154313097,4308.28617252388,FALSE,NA
"14","r_sampleUnit[zoneA_area1,Intercept]",0.802017138151328,3208.06855260531,FALSE,NA
"15","r_sampleUnit[zoneA_area2,Intercept]",0.825431971484269,3301.72788593708,FALSE,NA
"16","r_sampleUnit[zoneA_area3,Intercept]",0.80993145204174,3239.72580816696,FALSE,NA
"17","r_sampleUnit[zoneB_area1,Intercept]",0.726653761193325,2906.6150447733,FALSE,NA
"18","r_sampleUnit[zoneB_area2,Intercept]",0.917517370269073,3670.06948107629,FALSE,NA
"19","r_sampleUnit[zoneC_area1,Intercept]",0.711345581918926,2845.38232767571,FALSE,NA
"20","r_sampleUnit[zoneC_area2,Intercept]",0.755195202334199,3020.7808093368,FALSE,NA
"21","r_sampleUnit[zoneD_area1,Intercept]",0.847340500141556,3389.36200056622,FALSE,NA
"22","lp__",0.240237866144899,960.951464579595,FALSE,NA
"23","b_Intercept",0.727401669118115,2909.60667647246,TRUE,0
"24","b_erapresent",0.831402470647842,3325.60988259137,TRUE,0
"25","b_x2z",0.55258878658865,2210.3551463546,TRUE,0
"26","b_x3z",0.56054736307278,2242.18945229112,TRUE,0
"27","b_erapresent:x2z",0.599661507093787,2398.64602837515,TRUE,0
"28","b_erapresent:x3z",0.571562902814565,2286.25161125826,TRUE,0
"29","sd_sampleUnit__Intercept",0.342832577439403,1371.33030975761,TRUE,0
"30","sigma",0.966573713837713,3866.29485535085,TRUE,0
"31","nu",0.942423565799248,3769.69426319699,TRUE,0
"32","r_sampleUnit[HighRock_zoneA,Intercept]",0.634905228627605,2539.62091451042,TRUE,0
"33","r_sampleUnit[HighRock_zoneB,Intercept]",0.614114888003142,2456.45955201257,TRUE,0
"34","r_sampleUnit[HighRock_zoneC,Intercept]",0.552235259156272,2208.94103662509,TRUE,0
"35","r_sampleUnit[HighRock_zoneD,Intercept]",1.00629998356582,4025.19993426328,TRUE,0
"36","r_sampleUnit[zoneA_area1,Intercept]",0.811740567619215,3246.96227047686,TRUE,0
"37","r_sampleUnit[zoneA_area2,Intercept]",0.871062381990386,3484.24952796154,TRUE,0
"38","r_sampleUnit[zoneA_area3,Intercept]",0.921585385655371,3686.34154262148,TRUE,0
"39","r_sampleUnit[zoneB_area1,Intercept]",0.741781934068197,2967.12773627279,TRUE,0
"40","r_sampleUnit[zoneB_area2,Intercept]",0.818330631136683,3273.32252454673,TRUE,0
"41","r_sampleUnit[zoneC_area1,Intercept]",0.730919331155957,2923.67732462383,TRUE,0
"42","r_sampleUnit[zoneC_area2,Intercept]",0.776262047380503,3105.04818952201,TRUE,0
"43","r_sampleUnit[zoneD_area1,Intercept]",0.837565586400403,3350.26234560161,TRUE,0
"44","lp__",0.255751723540477,1023.00689416191,TRUE,0
"45","b_Intercept",0.689455286559509,2757.82114623804,TRUE,0.1
"46","b_erapresent",0.665858830144864,2663.43532057945,TRUE,0.1
"47","b_x2z",0.535944407062273,2143.77762824909,TRUE,0.1
"48","b_x3z",0.501807459949183,2007.22983979673,TRUE,0.1
"49","b_erapresent:x2z",0.47590957888513,1903.63831554052,TRUE,0.1
"50","b_erapresent:x3z",0.465438448778388,1861.75379511355,TRUE,0.1
"51","sd_sampleUnit__Intercept",0.285929044799732,1143.71617919893,TRUE,0.1
"52","sigma",1.07496693787436,4299.86775149743,TRUE,0.1
"53","nu",1.04332900459342,4173.31601837366,TRUE,0.1
"54","r_sampleUnit[HighRock_zoneA,Intercept]",0.566072831454941,2264.29132581976,TRUE,0.1
