"",".variable","rhat","truncate","quantile"
"1","b_Intercept",0.999379616071221,FALSE,NA
"2","b_erapresent",1.00014323075585,FALSE,NA
"3","b_x2z",1.00121378476153,FALSE,NA
"4","b_x3z",0.999714498239091,FALSE,NA
"5","b_erapresent:x2z",1.00009189451172,FALSE,NA
"6","b_erapresent:x3z",0.999436220660931,FALSE,NA
"7","sd_sampleUnit__Intercept",1.00320486765311,FALSE,NA
"8","sigma",1.00221762473754,FALSE,NA
"9","nu",1.00132078294692,FALSE,NA
"10","r_sampleUnit[HighRock_zoneA,Intercept]",0.999314894909765,FALSE,NA
"11","r_sampleUnit[HighRock_zoneB,Intercept]",1.00087602825614,FALSE,NA
"12","r_sampleUnit[HighRock_zoneC,Intercept]",1.00041627672503,FALSE,NA
"13","r_sampleUnit[HighRock_zoneD,Intercept]",1.00120421075732,FALSE,NA
"14","r_sampleUnit[zoneA_area1,Intercept]",0.999458186033012,FALSE,NA
"15","r_sampleUnit[zoneA_area2,Intercept]",1.00011683575728,FALSE,NA
"16","r_sampleUnit[zoneA_area3,Intercept]",1.0001592026811,FALSE,NA
"17","r_sampleUnit[zoneB_area1,Intercept]",0.999822519630661,FALSE,NA
"18","r_sampleUnit[zoneB_area2,Intercept]",0.999479495531482,FALSE,NA
"19","r_sampleUnit[zoneC_area1,Intercept]",1.00047534380349,FALSE,NA
"20","r_sampleUnit[zoneC_area2,Intercept]",1.00025746330388,FALSE,NA
"21","r_sampleUnit[zoneD_area1,Intercept]",0.999762934957076,FALSE,NA
"22","lp__",1.00386758868373,FALSE,NA
"23","b_Intercept",0.999809375317272,TRUE,0
"24","b_erapresent",0.99970250195733,TRUE,0
"25","b_x2z",0.999817612203635,TRUE,0
"26","b_x3z",0.999358949815441,TRUE,0
"27","b_erapresent:x2z",0.999501171999175,TRUE,0
"28","b_erapresent:x3z",0.999217189191597,TRUE,0
"29","sd_sampleUnit__Intercept",1.00118912567881,TRUE,0
"30","sigma",0.999157932574971,TRUE,0
"31","nu",0.999604483795995,TRUE,0
"32","r_sampleUnit[HighRock_zoneA,Intercept]",0.999487406395516,TRUE,0
"33","r_sampleUnit[HighRock_zoneB,Intercept]",1.00021618769602,TRUE,0
"34","r_sampleUnit[HighRock_zoneC,Intercept]",0.999873622453878,TRUE,0
"35","r_sampleUnit[HighRock_zoneD,Intercept]",0.999694882053497,TRUE,0
"36","r_sampleUnit[zoneA_area1,Intercept]",1.00020562529031,TRUE,0
"37","r_sampleUnit[zoneA_area2,Intercept]",1.00044505614739,TRUE,0
"38","r_sampleUnit[zoneA_area3,Intercept]",1.00001039537261,TRUE,0
"39","r_sampleUnit[zoneB_area1,Intercept]",1.00026255164435,TRUE,0
"40","r_sampleUnit[zoneB_area2,Intercept]",1.00094576555033,TRUE,0
"41","r_sampleUnit[zoneC_area1,Intercept]",1.00035862776197,TRUE,0
"42","r_sampleUnit[zoneC_area2,Intercept]",0.999747051653901,TRUE,0
"43","r_sampleUnit[zoneD_area1,Intercept]",0.999353065755566,TRUE,0
"44","lp__",1.00097610263852,TRUE,0
"45","b_Intercept",1.00074801027898,TRUE,0.1
"46","b_erapresent",1.00076481661298,TRUE,0.1
"47","b_x2z",1.00107623465975,TRUE,0.1
"48","b_x3z",1.00167869777896,TRUE,0.1
"49","b_erapresent:x2z",1.00120560143626,TRUE,0.1
"50","b_erapresent:x3z",1.00250504512191,TRUE,0.1
"51","sd_sampleUnit__Intercept",1.00154556066352,TRUE,0.1
"52","sigma",1.00066329184722,TRUE,0.1
"53","nu",1.00034096328946,TRUE,0.1
"54","r_sampleUnit[HighRock_zoneA,Intercept]",1.0014019870763,TRUE,0.1
"55","r_sampleUnit[HighRock_zoneB,Intercept]",1.00078789208312,TRUE,0.1
"56","r_sampleUnit[HighRock_zoneC,Intercept]",1.00149225277717,TRUE,0.1
"57","r_sampleUnit[HighRock_zoneD,Intercept]",0.999599658463385,TRUE,0.1
"58","r_sampleUnit[zoneA_area1,Intercept]",1.00078884488684,TRUE,0.1
"59","r_sampleUnit[zoneA_area2,Intercept]",1.00136387648362,TRUE,0.1
"60","r_sampleUnit[zoneA_area3,Intercept]",0.999358597342154,TRUE,0.1
"61","r_sampleUnit[zoneB_area1,Intercept]",1.00024586760718,TRUE,0.1
"62","r_sampleUnit[zoneB_area2,Intercept]",1.00101217227444,TRUE,0.1
"63","r_sampleUnit[zoneC_area1,Intercept]",0.999816223768653,TRUE,0.1
"64","r_sampleUnit[zoneC_area2,Intercept]",0.999963134450574,TRUE,0.1
"65","r_sampleUnit[zoneD_area1,Intercept]",0.999789723553863,TRUE,0.1
"66","lp__",1.00158907739055,TRUE,0.1
"67","b_Intercept",0.999543274923319,TRUE,0.15
"68","b_erapresent",0.999664242556752,TRUE,0.15
"69","b_x2z",1.00448381057117,TRUE,0.15
"70","b_x3z",1.00651366209169,TRUE,0.15
"71","b_erapresent:x2z",1.00365867685518,TRUE,0.15
"72","b_erapresent:x3z",1.00522724389666,TRUE,0.15
"73","sd_sampleUnit__Intercept",1.00478085278121,TRUE,0.15
"74","sigma",0.999613554048522,TRUE,0.15
"75","nu",0.999562464662773,TRUE,0.15
"76","r_sampleUnit[HighRock_zoneA,Intercept]",1.00254077755422,TRUE,0.15
"77","r_sampleUnit[HighRock_zoneB,Intercept]",1.00145455235101,TRUE,0.15
"78","r_sampleUnit[HighRock_zoneC,Intercept]",1.00591864750282,TRUE,0.15
"79","r_sampleUnit[HighRock_zoneD,Intercept]",0.999818180167698,TRUE,0.15
"80","r_sampleUnit[zoneA_area1,Intercept]",1.00008183643189,TRUE,0.15
"81","r_sampleUnit[zoneA_area2,Intercept]",1.0001051717608,TRUE,0.15
"82","r_sampleUnit[zoneA_area3,Intercept]",1.00005232014531,TRUE,0.15
"83","r_sampleUnit[zoneB_area1,Intercept]",0.999506707365769,TRUE,0.15
"84","r_sampleUnit[zoneB_area2,Intercept]",1.00010782456995,TRUE,0.15
"85","r_sampleUnit[zoneC_area1,Intercept]",0.999597370932723,TRUE,0.15
"86","r_sampleUnit[zoneC_area2,Intercept]",0.999787385706467,TRUE,0.15
"87","r_sampleUnit[zoneD_area1,Intercept]",0.999446560193064,TRUE,0.15
"88","lp__",1.00178900270488,TRUE,0.15
"89","b_Intercept",1.00113721723799,TRUE,0.2
"90","b_erapresent",0.999785080344998,TRUE,0.2
