"",".rownames","Estimate","SE","truncate","quantile"
"1","elpd_waic",-587.988089052447,36.5803316490417,FALSE,NA
"2","p_waic",24.7542084991327,0.918876082404078,FALSE,NA
"3","waic",1175.97617810489,73.1606632980834,FALSE,NA
"4","elpd_loo",-588.020274835972,36.5807758782352,FALSE,NA
"5","p_loo",24.7863942826582,0.919821540051064,FALSE,NA
"6","looic",1176.04054967194,73.1615517564703,FALSE,NA
"7","elpd_waic",-445.840986197659,35.6052170449869,TRUE,0
"8","p_waic",22.6783889019436,0.828994313795792,TRUE,0
"9","waic",891.681972395318,71.2104340899738,TRUE,0
"10","elpd_loo",-445.872560082849,35.6057540012449,TRUE,0
"11","p_loo",22.7099627871324,0.830010395036709,TRUE,0
"12","looic",891.745120165697,71.2115080024899,TRUE,0
"13","elpd_waic",165.113073582581,25.4091233976693,TRUE,0.1
"14","p_waic",18.3587413920006,1.04459006805105,TRUE,0.1
"15","waic",-330.226147165162,50.8182467953387,TRUE,0.1
"16","elpd_loo",165.092514564741,25.4095855767593,TRUE,0.1
"17","p_loo",18.37930040984,1.04553103277776,TRUE,0.1
"18","looic",-330.185029129482,50.8191711535187,TRUE,0.1
"19","elpd_waic",326.457342341845,22.0753634164387,TRUE,0.15
"20","p_waic",17.4339219199024,1.10638641678736,TRUE,0.15
"21","waic",-652.91468468369,44.1507268328774,TRUE,0.15
"22","elpd_loo",326.429889347699,22.0762638165576,TRUE,0.15
"23","p_loo",17.4613749140477,1.10783238178353,TRUE,0.15
"24","looic",-652.859778695399,44.1525276331153,TRUE,0.15
"25","elpd_waic",419.679907065837,21.397636194079,TRUE,0.2
"26","p_waic",16.2821648703323,1.10174942612035,TRUE,0.2
"27","waic",-839.359814131675,42.795272388158,TRUE,0.2
"28","elpd_loo",419.651983910961,21.3984873816139,TRUE,0.2
"29","p_loo",16.3100880252093,1.10328863218002,TRUE,0.2
"30","looic",-839.303967821921,42.7969747632277,TRUE,0.2
"31","elpd_waic",463.740507127916,20.6387111230627,TRUE,0.25
"32","p_waic",16.1973525031986,1.13281263054956,TRUE,0.25
"33","waic",-927.481014255832,41.2774222461255,TRUE,0.25
"34","elpd_loo",463.711704302213,20.6395039607661,TRUE,0.25
"35","p_loo",16.2261553289015,1.13421749199096,TRUE,0.25
"36","looic",-927.423408604426,41.2790079215322,TRUE,0.25
"37","elpd_waic",488.065998777582,20.9414491311942,TRUE,0.3
"38","p_waic",16.0906992081339,1.12025368539829,TRUE,0.3
"39","waic",-976.131997555163,41.8828982623884,TRUE,0.3
"40","elpd_loo",488.028972041245,20.9427686175419,TRUE,0.3
"41","p_loo",16.1277259444704,1.12247525157051,TRUE,0.3
"42","looic",-976.057944082491,41.8855372350838,TRUE,0.3
"43","elpd_waic",499.681374709382,20.7708257382219,TRUE,0.35
"44","p_waic",15.6882638936034,1.1171527592022,TRUE,0.35
"45","waic",-999.362749418764,41.5416514764438,TRUE,0.35
"46","elpd_loo",499.651965122125,20.7715173263448,TRUE,0.35
"47","p_loo",15.7176734808584,1.11831562810559,TRUE,0.35
"48","looic",-999.303930244251,41.5430346526896,TRUE,0.35
"49","elpd_waic",500.57331198736,20.9856974598036,TRUE,0.4
"50","p_waic",16.1749389780406,1.16961252973055,TRUE,0.4
"51","waic",-1001.14662397472,41.9713949196071,TRUE,0.4
"52","elpd_loo",500.545214362321,20.9863649451358,TRUE,0.4
"53","p_loo",16.2030366030787,1.17016737698722,TRUE,0.4
"54","looic",-1001.09042872464,41.9727298902717,TRUE,0.4
"55","elpd_waic",510.575799971935,20.1314722880661,TRUE,0.45
"56","p_waic",15.3529456504997,1.11206885758946,TRUE,0.45
"57","waic",-1021.15159994387,40.2629445761323,TRUE,0.45
"58","elpd_loo",510.533285077343,20.1332949008614,TRUE,0.45
"59","p_loo",15.3954605450924,1.11482124003679,TRUE,0.45
"60","looic",-1021.06657015469,40.2665898017229,TRUE,0.45
"61","elpd_waic",-59.7255735801476,32.2205099740837,TRUE,0.05
"62","p_waic",19.3893335444463,0.821840876741196,TRUE,0.05
"63","waic",119.451147160295,64.4410199481674,TRUE,0.05
"64","elpd_loo",-59.7489853557251,32.2209874436114,TRUE,0.05
"65","p_loo",19.4127453200237,0.822488711367507,TRUE,0.05
"66","looic",119.49797071145,64.4419748872228,TRUE,0.05
"67","elpd_waic",511.421065728234,18.5382021714939,TRUE,0.5
"68","p_waic",15.5668747201584,1.27307002785295,TRUE,0.5
"69","waic",-1022.84213145647,37.0764043429878,TRUE,0.5
"70","elpd_loo",511.389900129735,18.5394055510866,TRUE,0.5
"71","p_loo",15.5980403186565,1.27421520572227,TRUE,0.5
"72","looic",-1022.77980025947,37.0788111021732,TRUE,0.5
