"",".variable",".value",".lower",".upper",".width",".point",".interval","variable","truncate","quantile"
"1","b_erapresent",-0.227430105323136,-0.355287026461736,-0.110266885987724,0.95,"median","qi","Era",FALSE,NA
"2","b_erapresent",-0.227430105323136,-0.309506117388319,-0.153428778209036,0.8,"median","qi","Era",FALSE,NA
"3","b_erapresent",-0.217019307522987,-0.325806488827067,-0.100806190636221,0.95,"median","qi","Era",TRUE,0
"4","b_erapresent",-0.217019307522987,-0.287096059364451,-0.142931770601537,0.8,"median","qi","Era",TRUE,0
"5","b_erapresent",-0.157991021520226,-0.234714122931904,-0.0739988690988336,0.95,"median","qi","Era",TRUE,0.1
"6","b_erapresent",-0.157991021520226,-0.208806623479464,-0.102404700480673,0.8,"median","qi","Era",TRUE,0.1
"7","b_erapresent",-0.139690254025591,-0.219011575869934,-0.0533475754850215,0.95,"median","qi","Era",TRUE,0.15
"8","b_erapresent",-0.139690254025591,-0.189442682104077,-0.0858093918136769,0.8,"median","qi","Era",TRUE,0.15
"9","b_erapresent",-0.129083438306558,-0.204456905132779,-0.0499904816886365,0.95,"median","qi","Era",TRUE,0.2
"10","b_erapresent",-0.129083438306558,-0.176492098408213,-0.080224395101098,0.8,"median","qi","Era",TRUE,0.2
"11","b_erapresent",-0.0917293405952933,-0.167036557508025,-0.0138139086201734,0.95,"median","qi","Era",TRUE,0.25
"12","b_erapresent",-0.0917293405952933,-0.138931579648683,-0.0427525067041797,0.8,"median","qi","Era",TRUE,0.25
"13","b_erapresent",-0.0921555330602146,-0.16279458434972,-0.0188439119051904,0.95,"median","qi","Era",TRUE,0.3
"14","b_erapresent",-0.0921555330602146,-0.135195835832903,-0.0453388653822685,0.8,"median","qi","Era",TRUE,0.3
"15","b_erapresent",-0.0722515177478201,-0.136088025749286,-0.00868137811345441,0.95,"median","qi","Era",TRUE,0.35
"16","b_erapresent",-0.0722515177478201,-0.113489842544237,-0.0309640060420556,0.8,"median","qi","Era",TRUE,0.35
"17","b_erapresent",-0.0695608583293156,-0.130648674406103,-0.00346066763655775,0.95,"median","qi","Era",TRUE,0.4
"18","b_erapresent",-0.0695608583293156,-0.11036205061588,-0.0292984647893139,0.8,"median","qi","Era",TRUE,0.4
"19","b_erapresent",-0.0460239060381693,-0.111593213539238,0.0185494781983275,0.95,"median","qi","Era",TRUE,0.45
"20","b_erapresent",-0.0460239060381693,-0.0872788646791991,-0.00430821718147525,0.8,"median","qi","Era",TRUE,0.45
"21","b_erapresent",-0.163973524160444,-0.254196371787782,-0.0643720100091809,0.95,"median","qi","Era",TRUE,0.05
"22","b_erapresent",-0.163973524160444,-0.222678331171366,-0.103695838037518,0.8,"median","qi","Era",TRUE,0.05
"23","b_erapresent",-0.0403788940022013,-0.103999791062553,0.02660811730618,0.95,"median","qi","Era",TRUE,0.5
"24","b_erapresent",-0.0403788940022013,-0.0804427553409062,0.000892602182788185,0.8,"median","qi","Era",TRUE,0.5
