"","Estimate","Est.Error","Q2.5","Q97.5","bpv_discrep","truncate","quantile"
"1",0.476032197587098,0.0161200239993034,0.442472171740054,0.505460173167503,0.524180555555556,FALSE,NA
"2",0.482940181222959,0.016097941668808,0.449601787715107,0.512579574640063,0.516925576036866,TRUE,0
"3",0.492333925279861,0.017959237992037,0.454790298019342,0.525832852863162,0.510832259953162,TRUE,0.1
"4",0.501593420238995,0.0187651862361647,0.462881962525634,0.537148180680119,0.508374028497409,TRUE,0.15
"5",0.498209447071745,0.0192121784018272,0.459759992135339,0.53441994706861,0.509595536959554,TRUE,0.2
"6",0.494247646650642,0.0222630590770349,0.44676726115992,0.534719611845304,0.51786078098472,TRUE,0.25
"7",0.499615109833962,0.0228702454134108,0.45192335285023,0.542713148860842,0.525819832402235,TRUE,0.3
"8",0.495700250703763,0.0242500182100195,0.445616867902377,0.540570275827448,0.529422268907563,TRUE,0.35
"9",0.498666663186266,0.0265039217911565,0.443456917888849,0.546495912138267,0.530127976190476,TRUE,0.4
"10",0.503519938224495,0.0278895776617708,0.444688723219751,0.553496558266362,0.526711218836565,TRUE,0.45
"11",0.487692081722978,0.017397291311384,0.452862745763738,0.519929508158648,0.508887931034483,TRUE,0.05
"12",0.490325866845012,0.0300976832133425,0.424799891399241,0.545088374993206,0.531578703703704,TRUE,0.5
