"",".rownames","elpd_diff","se_diff","elpd_waic","se_elpd_waic","p_waic","se_p_waic","waic","se_waic","waic_diff","waic_diff_se","pooling","description","truncate","quantile"
"1","bx123",0,0,-587.988089052447,36.5803316490417,24.7542084991327,0.918876082404078,1175.97617810489,73.1606632980834,0,0,"Partially pooled","Sampling design",FALSE,NA
"2","bx1",-0.00188208272223538,0.361057503201459,-587.98997113517,36.5303115006686,24.7746578259482,0.924543053782254,1175.97994227034,73.0606230013373,0.00376416544447077,0.722115006402918,"Partially pooled","Sampling design, density, tidal height",FALSE,NA
"3","bx123p",-55.3033612090805,14.1574737026439,-643.291450261528,33.0922534998429,11.1718122143493,0.335524131118504,1286.58290052306,66.1845069996858,110.606722418161,28.3149474052878,"Completely pooled","Density, tidal height",FALSE,NA
"4","bx1p",-161.518198843834,25.9314079587674,-749.506287896281,29.881665729155,4.24850115801898,0.12926443670254,1499.01257579256,59.7633314583101,323.036397687668,51.8628159175347,"Completely pooled","No ecological context",FALSE,NA
"5","bx1",0,0,-445.640018385151,35.6475213434727,22.6007305555869,0.823276640351281,891.280036770303,71.2950426869454,0,0,"Partially pooled","Sampling design",TRUE,0
"6","bx123",-0.200967812508321,0.405119279358292,-445.840986197659,35.6052170449869,22.6783889019436,0.828994313795792,891.681972395318,71.2104340899738,0.401935625016643,0.810238558716585,"Partially pooled","Sampling design, density, tidal height",TRUE,0
"7","bx123p",-55.2554934769149,15.0104278472151,-500.895511862067,31.4515419026837,10.3120049601272,0.316244509225621,1001.79102372413,62.9030838053675,110.51098695383,30.0208556944303,"Completely pooled","Density, tidal height",TRUE,0
"8","bx1p",-190.044733960482,27.6121146085713,-635.684752345633,27.6817793078484,3.72996581349345,0.119924693827809,1271.36950469127,55.3635586156968,380.089467920963,55.2242292171427,"Completely pooled","No ecological context",TRUE,0
"9","bx123",0,0,165.113073582581,25.4091233976693,18.3587413920006,1.04459006805105,-330.226147165162,50.8182467953387,0,0,"Partially pooled","Sampling design",TRUE,0.1
"10","bx1",-0.341067796072456,1.09263495047998,164.772005786508,25.4673166423355,19.0896890585248,1.11261663684643,-329.544011573015,50.9346332846711,0.682135592144913,2.18526990095996,"Partially pooled","Sampling design, density, tidal height",TRUE,0.1
"11","bx123p",-25.7028398206345,10.2560103522451,139.410233761946,24.2975195091321,8.07018675101431,0.351908466776309,-278.820467523891,48.5950390182642,51.405679641269,20.5120207044903,"Completely pooled","Density, tidal height",TRUE,0.1
"12","bx1p",-155.467408417202,22.1890182371886,9.64566516537809,20.055353266153,3.53100695870779,0.140012644015453,-19.2913303307562,40.110706532306,310.934816834403,44.3780364743772,"Completely pooled","No ecological context",TRUE,0.1
"13","bx123",0,0,326.457342341845,22.0753634164387,17.4339219199024,1.10638641678736,-652.91468468369,44.1507268328774,0,0,"Partially pooled","Sampling design",TRUE,0.15
"14","bx1",-0.314876662909049,0.913657797418856,326.142465678936,22.0137628312506,18.0992504308896,1.16896618624401,-652.284931357872,44.0275256625012,0.629753325818098,1.82731559483771,"Partially pooled","Sampling design, density, tidal height",TRUE,0.15
"15","bx123p",-19.8514650620291,7.95451454190399,306.605877279816,21.4512039526475,7.63418183136162,0.389136928286836,-613.211754559631,42.902407905295,39.7029301240583,15.909029083808,"Completely pooled","Density, tidal height",TRUE,0.15
"16","bx1p",-133.474107095369,18.5929297356765,192.983235246474,18.6581957694378,3.48036658500157,0.156007130312657,-385.966470492949,37.3163915388756,266.948214190739,37.1858594713531,"Completely pooled","No ecological context",TRUE,0.15
"17","bx1",0,0,419.796798589246,21.3449570715506,16.5272413048557,1.12781277157134,-839.593597178493,42.6899141431013,0,0,"Partially pooled","Sampling design",TRUE,0.2
"18","bx123",-0.116891523408775,1.01052103261444,419.679907065837,21.397636194079,16.2821648703323,1.10174942612035,-839.359814131675,42.795272388158,0.23378304681755,2.02104206522887,"Partially pooled","Sampling design, density, tidal height",TRUE,0.2
"19","bx123p",-9.70939698066202,7.12662195183126,410.087401608585,20.4500775406813,7.41091905929343,0.411827952115617,-820.174803217169,40.9001550813626,19.418793961324,14.2532439036625,"Completely pooled","Density, tidal height",TRUE,0.2
"20","bx1p",-115.693188666388,17.5199027122633,304.103609922858,17.4512842977662,3.54008349714554,0.174967423440588,-608.207219845716,34.9025685955323,231.386377332775,35.0398054245265,"Completely pooled","No ecological context",TRUE,0.2
"21","bx1",0,0,463.845914776177,20.6706690808385,16.6254418996824,1.19586480120023,-927.691829552354,41.341338161677,0,0,"Partially pooled","Sampling design",TRUE,0.25
"22","bx123",-0.10540764826123,1.15658919278603,463.740507127916,20.6387111230627,16.1973525031986,1.13281263054956,-927.481014255832,41.2774222461255,0.210815296522461,2.31317838557205,"Partially pooled","Sampling design, density, tidal height",TRUE,0.25
"23","bx123p",-7.1019768391115,7.09942594356063,456.743937937066,19.5358398173962,7.25311760651,0.40858859494042,-913.487875874131,39.0716796347924,14.203953678223,14.1988518871213,"Completely pooled","Density, tidal height",TRUE,0.25
"24","bx1p",-117.386831314568,17.5624995647813,346.45908346161,16.9478689749712,3.56911532452048,0.177145993363276,-692.91816692322,33.8957379499423,234.773662629136,35.1249991295627,"Completely pooled","No ecological context",TRUE,0.25
"25","bx1",0,0,488.17503685014,20.978384379902,16.3053119099275,1.14358951656197,-976.35007370028,41.9567687598041,0,0,"Partially pooled","Sampling design",TRUE,0.3
