"",".variable","rhat","eff_samples","truncate","quantile"
"1","b_Intercept",0.739387192654615,2957.54877061846,FALSE,NA
"2","b_erapresent",0.70995418963194,2839.81675852776,FALSE,NA
"3","sigma",0.694803054281065,2779.21221712426,FALSE,NA
"4","lp__",0.434262989572578,1737.05195829031,FALSE,NA
"5","b_Intercept",0.766467543067981,3065.87017227192,TRUE,0
"6","b_erapresent",0.742774517888621,2971.09807155449,TRUE,0
"7","sigma",0.629594839988187,2518.37935995275,TRUE,0
"8","lp__",0.387961388384236,1551.84555353694,TRUE,0
"9","b_Intercept",0.628923012672904,2515.69205069162,TRUE,0.1
"10","b_erapresent",0.623778512932724,2495.1140517309,TRUE,0.1
"11","sigma",0.572327707991525,2289.3108319661,TRUE,0.1
"12","lp__",0.406845534525229,1627.38213810092,TRUE,0.1
"13","b_Intercept",0.626001093218625,2504.0043728745,TRUE,0.15
"14","b_erapresent",0.569529391647771,2278.11756659109,TRUE,0.15
"15","sigma",0.590998846260416,2363.99538504167,TRUE,0.15
"16","lp__",0.423768432293915,1695.07372917566,TRUE,0.15
"17","b_Intercept",0.54658305683689,2186.33222734756,TRUE,0.2
"18","b_erapresent",0.514599677773246,2058.39871109298,TRUE,0.2
"19","sigma",0.504203327961564,2016.81331184626,TRUE,0.2
"20","lp__",0.344844489375447,1379.37795750179,TRUE,0.2
"21","b_Intercept",0.564905302614654,2259.62121045861,TRUE,0.25
"22","b_erapresent",0.505163472457695,2020.65388983078,TRUE,0.25
"23","sigma",0.552332974902416,2209.33189960966,TRUE,0.25
"24","lp__",0.421374568800398,1685.49827520159,TRUE,0.25
"25","b_Intercept",0.677399653455833,2709.59861382333,TRUE,0.3
"26","b_erapresent",0.56772025038169,2270.88100152676,TRUE,0.3
"27","sigma",0.561990994014522,2247.96397605809,TRUE,0.3
"28","lp__",0.367519512219135,1470.07804887654,TRUE,0.3
"29","b_Intercept",0.643232511635982,2572.93004654393,TRUE,0.35
"30","b_erapresent",0.58672897312394,2346.91589249576,TRUE,0.35
"31","sigma",0.57773700146016,2310.94800584064,TRUE,0.35
"32","lp__",0.389712156576577,1558.84862630631,TRUE,0.35
"33","b_Intercept",0.645670389944481,2582.68155977793,TRUE,0.4
"34","b_erapresent",0.571254900802442,2285.01960320977,TRUE,0.4
"35","sigma",0.468912683721395,1875.65073488558,TRUE,0.4
"36","lp__",0.345369610236561,1381.47844094624,TRUE,0.4
"37","b_Intercept",0.716529308442123,2866.11723376849,TRUE,0.45
"38","b_erapresent",0.649664103869449,2598.6564154778,TRUE,0.45
"39","sigma",0.535329664218627,2141.31865687451,TRUE,0.45
"40","lp__",0.384737717664097,1538.95087065639,TRUE,0.45
"41","b_Intercept",0.729149248914118,2916.59699565647,TRUE,0.05
"42","b_erapresent",0.68267047325886,2730.68189303544,TRUE,0.05
"43","sigma",0.587292434069081,2349.16973627633,TRUE,0.05
"44","lp__",0.41913411335155,1676.5364534062,TRUE,0.05
"45","b_Intercept",0.802108617054138,3208.43446821655,TRUE,0.5
"46","b_erapresent",0.733929690430326,2935.7187617213,TRUE,0.5
"47","sigma",0.515407780048218,2061.63112019287,TRUE,0.5
"48","lp__",0.442595397071182,1770.38158828473,TRUE,0.5
