"",".variable",".value",".lower",".upper",".width",".point",".interval","variable","truncate","quantile"
"1","b_erapresent",-0.189991285187907,-0.210851705537592,-0.168554202505631,0.95,"median","qi","Era",FALSE,NA
"2","b_erapresent",-0.189991285187907,-0.203663691648822,-0.176045556346157,0.8,"median","qi","Era",FALSE,NA
"3","b_erapresent",-0.187257382244751,-0.208278805124987,-0.166843896060487,0.95,"median","qi","Era",TRUE,0
"4","b_erapresent",-0.187257382244751,-0.200597440254469,-0.174495414179833,0.8,"median","qi","Era",TRUE,0
"5","b_erapresent",-0.19922747531915,-0.213884218581512,-0.1843389639489,0.95,"median","qi","Era",TRUE,0.1
"6","b_erapresent",-0.19922747531915,-0.208723822071203,-0.189512074544395,0.8,"median","qi","Era",TRUE,0.1
"7","b_erapresent",-0.210157303244232,-0.224094788995608,-0.196556729756859,0.95,"median","qi","Era",TRUE,0.15
"8","b_erapresent",-0.210157303244232,-0.21915706263416,-0.200978497430142,0.8,"median","qi","Era",TRUE,0.15
"9","b_erapresent",-0.214992289280484,-0.228542291720865,-0.200845627077951,0.95,"median","qi","Era",TRUE,0.2
"10","b_erapresent",-0.214992289280484,-0.223799746602469,-0.205719905438518,0.8,"median","qi","Era",TRUE,0.2
"11","b_erapresent",-0.178214503100727,-0.191003699678041,-0.165626275330233,0.95,"median","qi","Era",TRUE,0.25
"12","b_erapresent",-0.178214503100727,-0.186435644663933,-0.169926569929782,0.8,"median","qi","Era",TRUE,0.25
"13","b_erapresent",-0.144009286870261,-0.155572514573966,-0.132310180998284,0.95,"median","qi","Era",TRUE,0.3
"14","b_erapresent",-0.144009286870261,-0.151695380475794,-0.13608147216969,0.8,"median","qi","Era",TRUE,0.3
"15","b_erapresent",-0.127862112062922,-0.139186376216567,-0.116668748247198,0.95,"median","qi","Era",TRUE,0.35
"16","b_erapresent",-0.127862112062922,-0.135084819308345,-0.120253583086142,0.8,"median","qi","Era",TRUE,0.35
"17","b_erapresent",-0.123374950454569,-0.134584487995699,-0.112525007821696,0.95,"median","qi","Era",TRUE,0.4
"18","b_erapresent",-0.123374950454569,-0.13056510987453,-0.115998882559048,0.8,"median","qi","Era",TRUE,0.4
"19","b_erapresent",-0.115123613442375,-0.125670570362288,-0.104145944764435,0.95,"median","qi","Era",TRUE,0.45
"20","b_erapresent",-0.115123613442375,-0.121927880361089,-0.108299870380162,0.8,"median","qi","Era",TRUE,0.45
"21","b_erapresent",-0.190115248518023,-0.20692006333016,-0.173175785012695,0.95,"median","qi","Era",TRUE,0.05
"22","b_erapresent",-0.190115248518023,-0.201358896559761,-0.178684656520621,0.8,"median","qi","Era",TRUE,0.05
"23","b_erapresent",-0.11087566280847,-0.122321975004272,-0.0998333596406569,0.95,"median","qi","Era",TRUE,0.5
"24","b_erapresent",-0.11087566280847,-0.118416708825723,-0.103682521763191,0.8,"median","qi","Era",TRUE,0.5
