"",".variable","rhat","truncate","quantile"
"1","b_Intercept",0.999795619823738,FALSE,NA
"2","b_erapresent",0.999739400008088,FALSE,NA
"3","sigma",0.99950345931184,FALSE,NA
"4","lp__",0.999374433154127,FALSE,NA
"5","b_Intercept",1.00080684251222,TRUE,0
"6","b_erapresent",1.00074364358181,TRUE,0
"7","sigma",1.00153656376158,TRUE,0
"8","lp__",1.00084153502596,TRUE,0
"9","b_Intercept",1.00036697952267,TRUE,0.1
"10","b_erapresent",0.999972257203567,TRUE,0.1
"11","sigma",1.00134548145396,TRUE,0.1
"12","lp__",1.00291694047895,TRUE,0.1
"13","b_Intercept",1.0013461691777,TRUE,0.15
"14","b_erapresent",1.00128350066137,TRUE,0.15
"15","sigma",1.00085546951978,TRUE,0.15
"16","lp__",1.0013160002873,TRUE,0.15
"17","b_Intercept",1.00212507842458,TRUE,0.2
"18","b_erapresent",1.00218355465973,TRUE,0.2
"19","sigma",1.00240537213535,TRUE,0.2
"20","lp__",1.0004458412591,TRUE,0.2
"21","b_Intercept",1.00056884950661,TRUE,0.25
"22","b_erapresent",1.00183665636729,TRUE,0.25
"23","sigma",0.999663924342667,TRUE,0.25
"24","lp__",1.00199175103083,TRUE,0.25
"25","b_Intercept",1.0012615473638,TRUE,0.3
"26","b_erapresent",1.00138538405681,TRUE,0.3
"27","sigma",1.00001346577552,TRUE,0.3
"28","lp__",1.00087321870851,TRUE,0.3
"29","b_Intercept",0.999909284561344,TRUE,0.35
"30","b_erapresent",0.999858917863292,TRUE,0.35
"31","sigma",0.999571539884446,TRUE,0.35
"32","lp__",1.00211077680321,TRUE,0.35
"33","b_Intercept",1.00129659088038,TRUE,0.4
"34","b_erapresent",1.00057843193137,TRUE,0.4
"35","sigma",1.00051968878675,TRUE,0.4
"36","lp__",1.0025463762652,TRUE,0.4
"37","b_Intercept",1.00074279451833,TRUE,0.45
"38","b_erapresent",1.00185602240855,TRUE,0.45
"39","sigma",1.00252805857348,TRUE,0.45
"40","lp__",1.0009058597288,TRUE,0.45
"41","b_Intercept",0.999489500458294,TRUE,0.05
"42","b_erapresent",0.999703428282248,TRUE,0.05
"43","sigma",1.00220482154712,TRUE,0.05
"44","lp__",1.000630036516,TRUE,0.05
"45","b_Intercept",1.00000516791186,TRUE,0.5
"46","b_erapresent",1.00000510561903,TRUE,0.5
"47","sigma",1.00020825866353,TRUE,0.5
"48","lp__",1.00256362243328,TRUE,0.5
