"","Estimate","Est.Error","Q2.5","Q97.5","bpv_discrep","truncate","quantile"
"1",0.0459620973478725,0.00499309794687766,0.0364767835715789,0.0559302927972606,0.550915918588454,FALSE,NA
"2",0.0468095357126524,0.0049418723103389,0.0373609139601559,0.0570314300480264,0.546104347489151,TRUE,0
"3",0.104560126791677,0.00709891836955197,0.0908695585502939,0.118599130451994,0.49449407459045,TRUE,0.1
"4",0.136227521100211,0.00791293639815265,0.121076538733372,0.151865131504429,0.480195965951147,TRUE,0.15
"5",0.167819235117336,0.00907321771733577,0.149621840051104,0.18556136671913,0.468384397163121,TRUE,0.2
"6",0.170570028473367,0.0102247551198688,0.150685698161011,0.19090260955994,0.465352372117678,TRUE,0.25
"7",0.166162221221212,0.0114845435785115,0.1439295525179,0.188600335471755,0.477502206920904,TRUE,0.3
"8",0.170971344028417,0.0128009947692878,0.14650929362019,0.196331499746154,0.486631516587678,TRUE,0.35
"9",0.193050014666257,0.0142210180964107,0.165760492239784,0.221273943797941,0.492599111675127,TRUE,0.4
"10",0.209533688138787,0.0154115548536969,0.177834508871311,0.239548208046689,0.50534875,TRUE,0.45
"11",0.0730720221027989,0.00620118854656431,0.0612863933082309,0.0852634759459672,0.520315570392351,TRUE,0.05
"12",0.227139263254074,0.0180797642826247,0.191868330544257,0.262703073150087,0.518607680722892,TRUE,0.5
