"",".rownames","elpd_diff","se_diff","elpd_waic","se_elpd_waic","p_waic","se_p_waic","waic","se_waic","waic_diff","waic_diff_se","pooling","description","truncate","quantile"
"29","bx1",0,0,382.061339840662,18.746883971368,19.2033025498367,1.77498003179012,-764.122679681324,37.4937679427361,0,0,"Partially pooled","Sampling design",TRUE,0.35
"30","bx123",-0.0210340122895763,0.874566584404201,382.040305828373,18.8500389105333,19.8001618359841,1.75414026274539,-764.080611656746,37.7000778210667,0.0420680245791527,1.7491331688084,"Partially pooled","Sampling design, density, tidal height",TRUE,0.35
"31","bx123p",-121.362636492517,17.6899793564839,260.698703348145,17.2848380521693,5.55438702183989,0.453167068384675,-521.39740669629,34.5696761043385,242.725272985035,35.3799587129678,"Completely pooled","Density, tidal height",TRUE,0.35
"32","bx1p",-131.371874810483,19.1939786262422,250.68946503018,17.309012284016,2.84225981681872,0.296232807574889,-501.378930060359,34.6180245680321,262.743749620966,38.3879572524844,"Completely pooled","No ecological context",TRUE,0.35
"33","bx123",0,0,351.436685028889,17.9902722057635,18.2381096232951,1.69672608843997,-702.873370057779,35.980544411527,0,0,"Partially pooled","Sampling design",TRUE,0.4
"34","bx1",-0.0410094603249912,0.9069875192913,351.395675568564,17.9373691648885,17.8563779915196,1.71855881732074,-702.791351137129,35.874738329777,0.0820189206499825,1.8139750385826,"Partially pooled","Sampling design, density, tidal height",TRUE,0.4
"35","bx123p",-111.804113082616,17.1276860075435,239.632571946274,15.9938228668514,5.231701770192,0.44157099445166,-479.265143892548,31.9876457337027,223.608226165232,34.255372015087,"Completely pooled","Density, tidal height",TRUE,0.4
"36","bx1p",-116.993997561286,18.2507789056922,234.442687467603,16.1205466009075,2.79333796671459,0.297177340581322,-468.885374935206,32.2410932018151,233.987995122572,36.5015578113843,"Completely pooled","No ecological context",TRUE,0.4
"37","bx1",0,0,315.314895815723,16.558625720349,15.5772976392651,1.62648350783314,-630.629791631446,33.117251440698,0,0,"Partially pooled","Sampling design",TRUE,0.45
"38","bx123",-0.276034457072119,0.743786317966081,315.038861358651,16.6167434266669,16.1452644709836,1.64319970159253,-630.077722717302,33.2334868533338,0.552068914144239,1.48757263593216,"Partially pooled","Sampling design, density, tidal height",TRUE,0.45
"39","bx123p",-104.257851535897,15.8652018695676,211.057044279826,14.536187611643,4.80556861903194,0.421358207487836,-422.114088559652,29.072375223286,208.515703071794,31.7304037391351,"Completely pooled","Density, tidal height",TRUE,0.45
"40","bx1p",-108.224844764896,16.7846185887946,207.090051050827,14.6509949002685,2.62896006836802,0.296511406240865,-414.180102101654,29.3019898005369,216.449689529792,33.5692371775891,"Completely pooled","No ecological context",TRUE,0.45
"41","bx123",0,0,404.543475010972,22.5720064659472,28.81008101687,2.25659137129332,-809.086950021943,45.1440129318945,0,0,"Partially pooled","Sampling design",TRUE,0.05
"42","bx1",-0.324908367234671,0.799404121437227,404.218566643737,22.4590076673879,29.1720681083761,2.30955247566966,-808.437133287474,44.9180153347758,0.649816734469341,1.59880824287445,"Partially pooled","Sampling design, density, tidal height",TRUE,0.05
"43","bx123p",-130.741302852618,16.9000451641081,273.802172158354,21.9976962434636,6.78544087946701,0.442849385784526,-547.604344316708,43.9953924869273,261.482605705237,33.8000903282162,"Completely pooled","Density, tidal height",TRUE,0.05
"44","bx1p",-210.726239060386,21.7975753033497,193.817235950586,20.8001084500052,2.93246718609065,0.160944186557703,-387.634471901171,41.6002169000105,421.452478120772,43.5951506066994,"Completely pooled","No ecological context",TRUE,0.05
"45","bx1",0,0,282.116769908331,15.5708165945784,13.9924547752938,1.53502753488121,-564.233539816663,31.1416331891569,0,0,"Partially pooled","Sampling design",TRUE,0.5
"46","bx123",-0.0276944504519181,0.79312252694493,282.089075457879,15.5722972585781,14.3123259815072,1.46413262989497,-564.178150915759,31.1445945171562,0.0553889009038363,1.58624505388986,"Partially pooled","Sampling design, density, tidal height",TRUE,0.5
"47","bx123p",-89.4807804081485,14.7667302721082,192.635989500183,13.414921813957,4.80715327189977,0.422977167790531,-385.271979000366,26.8298436279141,178.961560816297,29.5334605442165,"Completely pooled","Density, tidal height",TRUE,0.5
"48","bx1p",-92.5578083625274,15.5471533133143,189.558961545804,13.4914518778255,2.61245446260067,0.295540748339967,-379.117923091607,26.982903755651,185.115616725055,31.0943066266285,"Completely pooled","No ecological context",TRUE,0.5
