"","Estimate","Est.Error","Q2.5","Q97.5","bpv_discrep","truncate","quantile"
"1",0.288397732017076,0.0154097256396245,0.258108894874276,0.318327434791814,0.517090636042403,FALSE,NA
"2",0.314071855102651,0.0164264146935852,0.280309298595226,0.345496615388004,0.513419766593727,TRUE,0
"3",0.270098306797599,0.0215742514406134,0.227276460434775,0.311748977208151,0.498152962206333,TRUE,0.1
"4",0.285093581597176,0.021497243390795,0.241455638847124,0.326427249813384,0.493605658198614,TRUE,0.15
"5",0.348825579140141,0.0220818809106534,0.303770029775221,0.390989233462233,0.489926582278481,TRUE,0.2
"6",0.393542212020729,0.0213553674430052,0.350292730166524,0.433036603140388,0.488547252010724,TRUE,0.25
"7",0.420504109612072,0.0210963140409631,0.377387040357532,0.459249394784205,0.488788681948424,TRUE,0.3
"8",0.44692194183881,0.0210931355857673,0.40320254200832,0.485189191981296,0.488443683409437,TRUE,0.35
"9",0.462080908090557,0.0207535946476007,0.418458809645765,0.499359591059459,0.489011788617886,TRUE,0.4
"10",0.512390031456257,0.0196464381375593,0.469502163075617,0.547670598452664,0.487241935483871,TRUE,0.45
"11",0.334340209738379,0.0191388803695431,0.29578844556187,0.370930445037528,0.507476107732407,TRUE,0.05
"12",0.547643817477162,0.0196660018078506,0.507004276200119,0.583474810330361,0.486289728682171,TRUE,0.5
